                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3638,                 1.4931,                 1.6395,                0.35828,                0.56957,                0.44811,                0.33313,                0.88165,                0.79928,                 1.5539,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0789,                0.89779,                 1.4286,                0.57457,                0.66952,                0.62041,                0.46855,                0.85117,                 0.6753,                 1.4494,                0.04004,               0.006589,               0.006589
                      3,                0.89197,                 0.6955,                 1.4134,                0.60726,                0.63892,                0.62828,                0.48327,                0.78939,                0.63736,                 1.5577,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80702,                0.60951,                 1.4278,                0.70763,                0.71163,                0.72967,                0.57298,                0.75949,                0.56427,                 1.5082,               0.009703,               0.009703,               0.009703
                      5,                0.79197,                0.58543,                 1.4204,                0.67316,                0.69896,                0.72318,                0.56974,                0.74546,                 0.5625,                 1.5078,               0.009604,               0.009604,               0.009604
                      6,                0.77581,                0.56482,                 1.4059,                0.69442,                 0.6838,                0.70655,                0.55483,                 0.7563,                0.55607,                 1.5334,               0.009505,               0.009505,               0.009505
                      7,                 0.7681,                0.55138,                 1.4087,                0.75322,                0.72164,                0.77314,                 0.6219,                0.73151,                0.51767,                 1.4769,               0.009406,               0.009406,               0.009406
                      8,                0.76323,                0.54796,                 1.4091,                 0.7253,                0.74298,                0.76023,                0.61265,                 0.7189,                0.50892,                 1.4727,               0.009307,               0.009307,               0.009307
                      9,                0.75916,                0.53736,                 1.3962,                0.76878,                0.76726,                0.80132,                0.64956,                0.71085,                0.48454,                 1.4516,               0.009208,               0.009208,               0.009208
                     10,                0.75449,                0.53632,                  1.389,                0.77055,                0.75848,                0.79316,                0.64418,                0.69699,                0.48275,                 1.4776,               0.009109,               0.009109,               0.009109
                     11,                0.74962,                0.52849,                 1.3885,                0.70632,                 0.7012,                 0.7445,                0.58634,                0.75464,                0.56907,                 1.5676,                0.00901,                0.00901,                0.00901
                     12,                0.74472,                0.52143,                 1.3887,                0.79801,                0.76081,                0.81859,                0.66656,                0.69541,                0.46535,                 1.4701,               0.008911,               0.008911,               0.008911
                     13,                0.74021,                0.52145,                 1.3875,                 0.7902,                0.77508,                0.81976,                 0.6664,                 0.6974,                0.47115,                 1.4642,               0.008812,               0.008812,               0.008812
                     14,                0.73733,                0.51702,                 1.3851,                0.75901,                0.78061,                0.81092,                0.66413,                0.69313,                0.46018,                 1.4807,               0.008713,               0.008713,               0.008713
                     15,                0.73641,                0.51332,                 1.3842,                0.78497,                0.76837,                0.81614,                0.66566,                0.69699,                0.47138,                 1.4812,               0.008614,               0.008614,               0.008614
                     16,                0.73191,                0.50762,                 1.3805,                0.77566,                0.79601,                0.81823,                0.66849,                0.68724,                0.45553,                 1.4612,               0.008515,               0.008515,               0.008515
                     17,                0.73113,                0.50658,                 1.3836,                0.78872,                0.78352,                 0.8268,                0.67839,                0.68978,                0.45788,                 1.4686,               0.008416,               0.008416,               0.008416
