                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3586,                 1.4708,                   1.64,                  0.399,                0.53735,                0.46327,                0.27653,                  1.031,                0.88794,                 1.5732,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0765,                 0.9071,                 1.4322,                0.56193,                0.64866,                0.61412,                0.46534,                0.87323,                0.67816,                 1.4659,                0.04004,               0.006589,               0.006589
                      3,                0.89437,                0.69698,                 1.4137,                 0.5545,                0.57467,                 0.5697,                0.42583,                0.85193,                0.71154,                 1.6199,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80781,                0.61026,                 1.4301,                0.70583,                0.69911,                0.72163,                0.56608,                0.76131,                0.55264,                 1.4882,               0.009703,               0.009703,               0.009703
                      5,                 0.7932,                0.58624,                 1.4206,                0.70259,                0.69611,                0.72983,                0.56776,                 0.7665,                 0.5614,                 1.5254,               0.009604,               0.009604,               0.009604
                      6,                0.77628,                 0.5656,                 1.4052,                0.68685,                0.66431,                  0.693,                0.54484,                 0.7925,                0.59338,                 1.5493,               0.009505,               0.009505,               0.009505
                      7,                0.76838,                0.55238,                 1.4075,                0.76929,                0.73752,                 0.7883,                 0.6346,                0.72089,                0.50891,                 1.4695,               0.009406,               0.009406,               0.009406
                      8,                0.76304,                0.54802,                 1.4075,                0.73542,                0.73456,                 0.7558,                0.60894,                0.72565,                0.50872,                  1.467,               0.009307,               0.009307,               0.009307
                      9,                0.75914,                0.53866,                 1.3938,                0.75748,                 0.7499,                0.79138,                0.63882,                0.71603,                0.49973,                 1.4844,               0.009208,               0.009208,               0.009208
                     10,                0.75425,                0.53665,                 1.3891,                0.75638,                0.77076,                0.79808,                0.64646,                0.70582,                0.48614,                 1.4607,               0.009109,               0.009109,               0.009109
                     11,                0.75022,                0.52965,                 1.3907,                0.77328,                0.75589,                0.79926,                0.64289,                0.71278,                0.50184,                 1.4998,                0.00901,                0.00901,                0.00901
                     12,                0.74496,                0.52213,                 1.3894,                0.76638,                0.76628,                0.79653,                0.64967,                0.69979,                0.47671,                 1.4615,               0.008911,               0.008911,               0.008911
                     13,                0.74064,                0.52078,                 1.3868,                0.77956,                0.76166,                0.81144,                0.65957,                0.70293,                 0.4683,                 1.4609,               0.008812,               0.008812,               0.008812
                     14,                 0.7374,                0.51823,                 1.3834,                 0.7462,                 0.7045,                0.75065,                 0.5919,                0.73643,                0.52393,                 1.5657,               0.008713,               0.008713,               0.008713
                     15,                0.73661,                0.51337,                 1.3887,                 0.7899,                0.78974,                0.82353,                0.67221,                0.69534,                0.46108,                 1.4693,               0.008614,               0.008614,               0.008614
                     16,                0.73279,                0.50845,                 1.3807,                0.79368,                0.78935,                0.83077,                0.68106,                0.68656,                0.45592,                 1.4727,               0.008515,               0.008515,               0.008515
                     17,                0.73132,                0.50711,                 1.3851,                0.79641,                 0.7782,                0.82244,                0.67519,                0.69184,                 0.4621,                 1.4683,               0.008416,               0.008416,               0.008416
                     18,                0.72535,                 0.5017,                 1.3748,                0.80381,                0.76596,                0.82427,                0.67264,                 0.6918,                0.46082,                 1.4664,               0.008317,               0.008317,               0.008317
                     19,                0.72508,                0.49922,                 1.3839,                0.80378,                0.78913,                0.83436,                0.68409,                0.68554,                0.45338,                 1.4524,               0.008218,               0.008218,               0.008218
                     20,                0.72447,                0.49944,                 1.3787,                0.81167,                0.79486,                0.83931,                0.68777,                0.68462,                0.44829,                 1.4701,               0.008119,               0.008119,               0.008119
                     21,                0.72267,                0.49397,                 1.3798,                0.81259,                0.79871,                0.84593,                 0.6963,                0.68028,                0.44224,                 1.4712,                0.00802,                0.00802,                0.00802
                     22,                0.71578,                0.49255,                 1.3778,                0.81132,                0.80065,                0.84145,                0.69415,                0.67736,                0.43652,                 1.4562,               0.007921,               0.007921,               0.007921
                     23,                0.71851,                 0.4921,                 1.3868,                0.81843,                0.79275,                0.84342,                 0.6953,                0.67578,                0.43833,                 1.4576,               0.007822,               0.007822,               0.007822
                     24,                0.71505,                 0.4886,                 1.3793,                0.81475,                0.78917,                0.84217,                0.69553,                0.67233,                0.43306,                 1.4599,               0.007723,               0.007723,               0.007723
                     25,                0.71158,                0.48057,                 1.3769,                0.79647,                0.80542,                0.83734,                 0.6927,                0.67005,                0.43454,                 1.4372,               0.007624,               0.007624,               0.007624
                     26,                0.70908,                0.47892,                 1.3794,                0.81243,                0.81135,                0.85088,                0.70295,                0.67217,                0.42721,                 1.4499,               0.007525,               0.007525,               0.007525
                     27,                0.70364,                0.47583,                 1.3754,                0.80552,                0.79889,                0.84752,                0.70193,                0.67048,                0.43128,                 1.4485,               0.007426,               0.007426,               0.007426
                     28,                0.70435,                0.47497,                 1.3729,                0.80025,                0.81068,                0.84745,                0.70201,                0.66861,                0.42669,                 1.4596,               0.007327,               0.007327,               0.007327
                     29,                 0.7047,                 0.4738,                 1.3804,                0.80704,                 0.8004,                0.84598,                0.70079,                0.66682,                0.42629,                 1.4545,               0.007228,               0.007228,               0.007228
                     30,                0.70206,                0.47199,                 1.3724,                0.79838,                0.80694,                0.83949,                0.69695,                0.66857,                0.42883,                 1.4555,               0.007129,               0.007129,               0.007129
                     31,                0.70502,                0.47378,                 1.3778,                0.82041,                0.81675,                0.86024,                0.71523,                0.66311,                 0.4193,                 1.4526,                0.00703,                0.00703,                0.00703
                     32,                0.69886,                0.46767,                 1.3763,                0.81967,                0.80689,                0.85479,                0.71072,                0.66462,                0.41874,                 1.4495,               0.006931,               0.006931,               0.006931
                     33,                0.69969,                0.46776,                 1.3733,                0.81705,                0.80714,                0.85493,                0.71061,                0.66241,                0.41924,                 1.4565,               0.006832,               0.006832,               0.006832
                     34,                 0.6949,                0.46219,                 1.3745,                0.81639,                 0.8149,                0.85698,                0.71161,                0.66124,                 0.4163,                 1.4653,               0.006733,               0.006733,               0.006733
                     35,                0.69701,                0.46301,                 1.3752,                0.82779,                0.80619,                0.85323,                0.70945,                0.66131,                0.41677,                 1.4594,               0.006634,               0.006634,               0.006634
                     36,                 0.6917,                0.45722,                 1.3669,                0.81097,                 0.8216,                0.85519,                0.71186,                 0.6599,                0.41454,                 1.4544,               0.006535,               0.006535,               0.006535
                     37,                0.68692,                 0.4559,                 1.3662,                0.82229,                 0.8136,                0.85753,                  0.714,                0.65937,                0.41477,                   1.45,               0.006436,               0.006436,               0.006436
                     38,                0.69036,                0.45596,                 1.3728,                0.84446,                0.80754,                0.86106,                0.71719,                 0.6603,                0.41316,                 1.4515,               0.006337,               0.006337,               0.006337
                     39,                0.68642,                0.45116,                 1.3782,                0.82797,                0.82424,                0.86145,                0.71804,                0.65902,                0.41102,                 1.4563,               0.006238,               0.006238,               0.006238
                     40,                0.68481,                0.45159,                 1.3706,                0.83793,                0.82012,                0.86424,                0.72054,                0.65839,                0.40932,                 1.4567,               0.006139,               0.006139,               0.006139
                     41,                0.68487,                0.44749,                 1.3782,                0.83076,                0.82423,                0.86213,                0.71913,                 0.6584,                 0.4094,                  1.456,                0.00604,                0.00604,                0.00604
                     42,                0.68236,                0.44715,                 1.3674,                 0.8279,                0.82566,                0.86455,                0.72186,                0.65764,                0.40799,                 1.4549,               0.005941,               0.005941,               0.005941
                     43,                 0.6775,                 0.4455,                 1.3714,                0.83767,                0.82137,                 0.8649,                0.72255,                0.65699,                0.40724,                 1.4548,               0.005842,               0.005842,               0.005842
                     44,                0.67849,                 0.4419,                 1.3719,                0.83677,                0.81922,                0.86554,                0.72366,                0.65672,                0.40548,                 1.4598,               0.005743,               0.005743,               0.005743
                     45,                0.68218,                0.44559,                 1.3697,                0.83876,                0.81909,                0.86668,                0.72406,                0.65618,                0.40558,                 1.4579,               0.005644,               0.005644,               0.005644
                     46,                0.67892,                0.44401,                 1.3748,                0.83994,                0.81939,                0.86663,                0.72447,                 0.6565,                0.40559,                 1.4564,               0.005545,               0.005545,               0.005545
                     47,                0.67697,                0.43927,                 1.3667,                 0.8385,                0.82319,                0.86708,                0.72457,                0.65594,                0.40569,                 1.4554,               0.005446,               0.005446,               0.005446
                     48,                 0.6758,                 0.4403,                 1.3704,                0.83315,                0.82788,                0.86663,                0.72471,                0.65557,                 0.4048,                 1.4558,               0.005347,               0.005347,               0.005347
                     49,                0.67286,                0.43576,                 1.3644,                0.83359,                 0.8266,                0.86715,                0.72416,                0.65529,                0.40389,                  1.457,               0.005248,               0.005248,               0.005248
                     50,                0.66715,                0.43124,                 1.3644,                0.82732,                0.83149,                0.86683,                0.72416,                0.65474,                 0.4038,                 1.4573,               0.005149,               0.005149,               0.005149
                     51,                0.67125,                0.43564,                 1.3683,                0.82447,                 0.8333,                0.86665,                0.72421,                0.65469,                0.40339,                 1.4577,                0.00505,                0.00505,                0.00505
                     52,                0.66752,                0.43114,                 1.3714,                0.83248,                0.82869,                0.86645,                0.72404,                0.65442,                0.40311,                  1.459,               0.004951,               0.004951,               0.004951
                     53,                 0.6642,                0.42664,                 1.3688,                0.83882,                0.82572,                0.86722,                0.72487,                0.65407,                0.40246,                 1.4589,               0.004852,               0.004852,               0.004852
                     54,                0.66274,                0.42653,                 1.3696,                 0.8359,                 0.8263,                0.86719,                0.72556,                 0.6542,                0.40232,                 1.4587,               0.004753,               0.004753,               0.004753
                     55,                0.66466,                0.42451,                 1.3608,                0.84023,                 0.8217,                0.86759,                0.72596,                 0.6539,                0.40241,                  1.458,               0.004654,               0.004654,               0.004654
                     56,                0.66014,                 0.4238,                 1.3634,                0.83969,                0.82466,                0.86848,                0.72681,                0.65379,                0.40217,                 1.4599,               0.004555,               0.004555,               0.004555
                     57,                0.65693,                0.41847,                 1.3591,                0.83606,                0.82813,                0.86852,                0.72686,                0.65338,                0.40176,                 1.4603,               0.004456,               0.004456,               0.004456
                     58,                0.66403,                 0.4216,                 1.3544,                0.83731,                0.82804,                0.86918,                0.72757,                0.65302,                 0.4015,                 1.4598,               0.004357,               0.004357,               0.004357
                     59,                0.66213,                 0.4191,                 1.3745,                0.84996,                0.81772,                0.86843,                0.72698,                0.65274,                0.40136,                 1.4605,               0.004258,               0.004258,               0.004258
                     60,                 0.6615,                0.42011,                 1.3618,                0.83579,                0.83004,                0.86792,                0.72655,                0.65247,                0.40121,                 1.4609,               0.004159,               0.004159,               0.004159
                     61,                 0.6559,                0.41476,                 1.3593,                0.83509,                0.83119,                0.86761,                 0.7267,                0.65234,                0.40072,                 1.4611,                0.00406,                0.00406,                0.00406
                     62,                0.65205,                0.41345,                 1.3605,                0.84209,                0.82488,                0.86768,                0.72705,                0.65216,                0.40088,                  1.461,               0.003961,               0.003961,               0.003961
                     63,                0.65546,                 0.4134,                 1.3673,                 0.8425,                0.82521,                0.86768,                0.72689,                0.65192,                0.40072,                 1.4616,               0.003862,               0.003862,               0.003862
                     64,                0.65525,                0.41465,                 1.3612,                0.83991,                0.82582,                0.86738,                0.72679,                0.65187,                0.40083,                 1.4616,               0.003763,               0.003763,               0.003763
                     65,                0.64992,                0.40923,                 1.3577,                0.83925,                0.82709,                0.86732,                0.72653,                0.65174,                0.40083,                 1.4613,               0.003664,               0.003664,               0.003664
                     66,                0.64916,                0.40853,                 1.3626,                0.83921,                0.82704,                0.86717,                 0.7269,                0.65163,                0.40065,                 1.4617,               0.003565,               0.003565,               0.003565
                     67,                  0.654,                0.40945,                 1.3531,                  0.839,                0.82606,                0.86663,                0.72642,                0.65153,                0.40058,                 1.4618,               0.003466,               0.003466,               0.003466
                     68,                0.64553,                0.40247,                 1.3599,                0.83979,                0.82471,                0.86652,                0.72639,                0.65153,                0.40055,                  1.462,               0.003367,               0.003367,               0.003367
                     69,                0.64637,                0.40365,                 1.3591,                0.84065,                0.82494,                0.86652,                0.72653,                 0.6515,                0.40042,                 1.4623,               0.003268,               0.003268,               0.003268
                     70,                0.64399,                0.40183,                 1.3486,                0.84214,                0.82428,                0.86642,                0.72666,                0.65135,                0.40036,                 1.4623,               0.003169,               0.003169,               0.003169
                     71,                0.64438,                0.40232,                 1.3534,                0.84248,                0.82251,                 0.8662,                0.72676,                0.65129,                0.40025,                 1.4624,                0.00307,                0.00307,                0.00307
                     72,                0.64214,                 0.3987,                 1.3503,                0.84194,                0.82311,                0.86606,                0.72643,                0.65119,                0.40017,                 1.4626,               0.002971,               0.002971,               0.002971
                     73,                0.63844,                0.39511,                 1.3575,                0.84308,                0.82222,                0.86588,                0.72649,                0.65102,                0.39998,                 1.4628,               0.002872,               0.002872,               0.002872
                     74,                0.63796,                0.39448,                 1.3549,                0.84195,                0.82368,                0.86536,                0.72609,                0.65102,                0.40009,                 1.4631,               0.002773,               0.002773,               0.002773
                     75,                0.63684,                0.39354,                 1.3489,                0.84674,                0.81845,                0.86518,                0.72626,                 0.6509,                0.39985,                 1.4634,               0.002674,               0.002674,               0.002674
                     76,                0.63511,                0.39266,                  1.346,                0.83875,                0.82668,                 0.8649,                0.72596,                0.65075,                0.39974,                 1.4636,               0.002575,               0.002575,               0.002575
                     77,                0.63492,                0.39107,                 1.3467,                0.83632,                0.82837,                0.86489,                0.72618,                0.65064,                0.39955,                 1.4639,               0.002476,               0.002476,               0.002476
                     78,                0.63318,                0.38955,                 1.3452,                0.83785,                0.82683,                0.86493,                0.72599,                0.65063,                0.39956,                 1.4638,               0.002377,               0.002377,               0.002377
                     79,                0.63545,                0.38942,                 1.3491,                0.83933,                0.82734,                 0.8646,                0.72613,                 0.6505,                0.39947,                 1.4641,               0.002278,               0.002278,               0.002278
                     80,                0.62876,                0.38606,                 1.3458,                0.83955,                0.82648,                0.86466,                0.72629,                0.65038,                0.39931,                 1.4641,               0.002179,               0.002179,               0.002179
                     81,                0.62823,                0.38269,                 1.3502,                0.84656,                0.82129,                0.86461,                0.72601,                0.65039,                0.39914,                 1.4644,                0.00208,                0.00208,                0.00208
                     82,                0.63105,                0.38576,                 1.3389,                0.84907,                0.82027,                0.86441,                0.72597,                 0.6503,                0.39921,                 1.4644,               0.001981,               0.001981,               0.001981
                     83,                0.62425,                 0.3792,                 1.3402,                 0.8485,                0.82238,                 0.8646,                0.72564,                0.65033,                0.39928,                 1.4646,               0.001882,               0.001882,               0.001882
                     84,                 0.6268,                0.38263,                 1.3456,                0.85112,                0.82022,                0.86449,                0.72554,                 0.6503,                0.39929,                 1.4647,               0.001783,               0.001783,               0.001783
                     85,                0.62731,                0.38039,                 1.3413,                0.85114,                0.82004,                0.86418,                0.72542,                0.65027,                0.39938,                 1.4646,               0.001684,               0.001684,               0.001684
                     86,                0.62197,                0.37739,                 1.3445,                0.85107,                0.81938,                0.86406,                0.72526,                0.65018,                0.39957,                 1.4648,               0.001585,               0.001585,               0.001585
                     87,                0.61986,                0.37409,                 1.3343,                0.85073,                0.82053,                0.86409,                0.72539,                0.65012,                0.39961,                 1.4648,               0.001486,               0.001486,               0.001486
                     88,                0.61946,                0.37562,                  1.343,                0.85158,                0.82066,                0.86364,                0.72522,                0.65016,                0.39971,                  1.465,               0.001387,               0.001387,               0.001387
                     89,                0.61783,                0.37222,                 1.3419,                  0.852,                0.82155,                0.86347,                0.72487,                0.65001,                0.39964,                 1.4652,               0.001288,               0.001288,               0.001288
                     90,                0.61503,                0.37197,                  1.334,                 0.8506,                0.82224,                0.86315,                0.72484,                0.64995,                 0.3997,                 1.4654,               0.001189,               0.001189,               0.001189
                     91,                0.61527,                0.36876,                 1.3308,                0.85393,                0.81789,                0.86297,                0.72455,                 0.6499,                 0.3997,                 1.4656,                0.00109,                0.00109,                0.00109
                     92,                0.61409,                0.36565,                 1.3331,                0.84828,                0.82394,                0.86271,                 0.7244,                0.64994,                 0.3998,                 1.4658,               0.000991,               0.000991,               0.000991
                     93,                0.61139,                0.36447,                 1.3349,                 0.8514,                0.82196,                0.86222,                0.72414,                0.64987,                0.39994,                  1.466,               0.000892,               0.000892,               0.000892
                     94,                0.61152,                0.36585,                 1.3323,                0.85038,                0.82274,                0.86206,                0.72433,                0.64975,                0.40002,                 1.4661,               0.000793,               0.000793,               0.000793
                     95,                0.60968,                0.36598,                 1.3283,                0.84926,                0.82406,                0.86198,                0.72416,                0.64971,                0.39991,                 1.4663,               0.000694,               0.000694,               0.000694
                     96,                0.60657,                0.36101,                 1.3239,                0.85319,                0.82129,                 0.8615,                0.72363,                0.64965,                0.39983,                 1.4663,               0.000595,               0.000595,               0.000595
                     97,                0.60374,                0.35929,                 1.3231,                0.85204,                0.82245,                 0.8611,                0.72312,                0.64965,                0.39991,                 1.4665,               0.000496,               0.000496,               0.000496
                     98,                0.60577,                0.35878,                 1.3352,                0.84794,                0.82505,                 0.8608,                 0.7229,                0.64971,                0.39998,                  1.467,               0.000397,               0.000397,               0.000397
