                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/P5_gate_direction_loss,    p2/P5_ir_win_recall,p2/P5_object_balanced_loss,p2/P5_object_calibrated_loss,p2/P5_object_hard_winner_loss,p2/P5_object_prompt_accuracy,p2/P5_object_prompt_correlation,p2/P5_object_prompt_mae,p2/P5_object_prompt_rgb, p2/P5_object_rank_loss,p2/P5_object_target_rgb,   p2/P5_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                  1.304,                 1.4954,                 1.5612,                0.02345,                0.35443,                0.59251,                0.44692,                0.30665,                 1.0499,                0.92702,                  1.523,                0.02344,               0.070106,              0.0033215,              0.0033215,                      0,                0.95895,                0.69318,                0.69311,                0.69315,                0.70654,               0.035777,                 0.1581,                0.49987,                0.69314,                0.41359,             3.6269e-07,               0.039535,                      0,                0.96348,                0.69315,                0.69251,                0.69312,                0.70864,               0.032577,                0.15763,                0.49872,                0.69311,                0.41359,            -3.0232e-07,               0.035216,                      0,                0.96348,                0.69316,                0.69198,                0.69314,                0.70864,              0.0027751,                0.15719,                0.49762,                0.69311,                0.41359,               0.035216,             3.7572e-06,                      0,                 1.0107,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                 1.0803,                0.88462,                 1.4176,                0.04686,                0.59917,                0.66693,                0.63454,                0.47397,                0.83627,                0.65112,                 1.4769,                0.04684,                0.04004,               0.006589,               0.006589,                      0,                0.99998,                0.69311,                0.69201,                0.69312,                0.72839,               0.047482,                 0.1575,                0.49776,                0.69308,                0.41238,              8.114e-06,             0.00013109,                      0,                      1,                0.69322,                0.68584,                0.69313,                0.72836,               0.072944,                0.15306,                0.48497,                0.69241,                0.41238,            -1.7619e-05,                      0,                      0,                      1,                0.69377,                0.68365,                0.69375,                0.72836,               0.019408,                0.15155,                0.47934,                0.69276,                0.41238,                      0,             0.00014176,                      0,                 1.0097,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                0.90069,                0.69978,                 1.4077,                0.07013,                0.66617,                 0.6634,                0.67299,                0.51196,                0.79897,                0.59138,                 1.5557,                0.07012,              0.0099086,              0.0097904,              0.0097904,                      0,                0.99999,                0.69364,                0.68437,                0.69354,                0.73011,               0.059996,                  0.151,                0.48118,                 0.6925,                0.41206,             1.3787e-05,             5.9532e-05,                      0,                0.99012,                 0.6932,                0.67771,                0.69181,                0.72806,                0.14447,                0.14699,                0.46883,                0.68843,                0.41206,             -4.863e-05,               0.019169,                      0,                      1,                 0.6943,                0.68052,                0.69407,                 0.7301,               0.025712,                0.14841,                0.47197,                0.69261,                0.41206,                      0,             0.00012837,                      0,                 1.0075,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.81695,                0.61029,                 1.4278,                 0.0914,                0.68052,                0.70811,                0.70773,                0.54289,                0.78536,                0.58555,                 1.5244,                0.09161,               0.009703,               0.009703,               0.009703,                      0,                0.99999,                0.69485,                0.67818,                0.69436,                0.73616,               0.067468,                0.14847,                0.46701,                0.69179,                0.41068,            -0.00049019,             0.00013976,                      0,                0.73368,                0.68099,                0.66527,                0.63063,                0.66489,                 0.2941,                0.16168,                0.46342,                0.62516,                0.41068,              4.028e-05,                0.47296,                      0,                0.99389,                0.69471,                0.67893,                0.69384,                0.73515,               0.039417,                0.14889,                0.46849,                0.69189,                0.41068,                0.01334,              0.0072289,                      0,                0.98552,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                0.80147,                0.58599,                 1.4181,                0.11208,                0.73332,                0.72408,                0.75834,                0.59455,                0.74194,                0.52724,                 1.5107,                0.11406,               0.009604,               0.009604,               0.009604,                      0,                0.99999,                0.69485,                0.67884,                0.69427,                0.72539,               0.075795,                0.14866,                0.46696,                0.69182,                0.41417,             -0.0017179,             0.00010208,                      0,                0.62378,                0.67885,                0.66926,                0.57098,                0.63723,                0.36874,                0.18386,                0.46508,                0.59545,                0.41417,              0.0013625,                0.67275,                      0,                0.99558,                0.69451,                0.67804,                0.69302,                0.72478,               0.073474,                0.14808,                0.46583,                0.69068,                0.41417,              0.0095374,               0.017541,                      0,                0.96584,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                0.78117,                0.56168,                 1.4021,                0.11102,                0.74641,                0.69933,                0.75091,                0.57708,                0.77014,                0.55495,                 1.4924,                0.11461,               0.009505,               0.009505,               0.009505,                      0,                      1,                0.69491,                0.67696,                0.69416,                0.73651,               0.093701,                0.14684,                0.46443,                0.69113,                0.41059,             -0.0026725,             0.00013731,                      0,                0.62517,                0.67579,                0.66449,                0.55395,                0.64043,                0.39975,                0.18446,                0.46491,                0.57615,                0.41059,              0.0027071,                0.68308,                      0,                0.89695,                0.69057,                 0.6714,                0.68157,                0.71123,                0.15338,                0.14641,                0.46112,                0.67461,                0.41059,                0.19222,               0.019519,                      0,                 0.9572,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                0.77408,                0.55514,                 1.3989,                0.10965,                0.75106,                0.74462,                0.76953,                0.61243,                0.72793,                0.51517,                 1.4648,                0.11234,               0.009406,               0.009406,               0.009406,                      0,                0.99998,                 0.6947,                0.67633,                0.69391,                0.72965,                0.10974,                 0.1447,                0.46241,                0.69058,                0.41298,             -0.0033643,             0.00017829,                      0,                0.62997,                0.67648,                0.66512,                 0.5474,                0.64695,                0.40673,                0.18498,                0.46567,                0.58689,                0.41298,              0.0032112,                0.69277,                      0,                0.65179,                0.68096,                0.66554,                0.62065,                0.63538,                 0.2942,                0.16717,                0.46635,                0.62723,                0.41298,                0.59109,               0.022337,                      0,                0.94439,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                 0.7679,                 0.5461,                 1.3955,                0.10863,                0.75458,                0.73933,                0.77033,                 0.6119,                0.72704,                0.50087,                 1.4588,                0.11188,               0.009307,               0.009307,               0.009307,                      0,                 0.9999,                 0.6946,                0.67359,                0.69347,                0.73503,                0.13752,                0.14626,                0.45823,                0.68902,                0.40945,             -0.0039807,             0.00073006,                      0,                0.63383,                0.67438,                0.66245,                0.53828,                 0.6501,                0.41492,                0.18687,                0.46103,                0.58015,                0.40945,              0.0056986,                0.69521,                      0,                0.65725,                0.68147,                0.66506,                0.59118,                0.64973,                0.33326,                0.17654,                0.46121,                0.61051,                0.40945,                0.62888,               0.025235,                      0,                0.93545,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76567,                0.54467,                 1.3928,                0.10662,                0.74769,                0.73945,                0.77004,                  0.617,                0.73136,                0.51539,                 1.4531,                0.10799,               0.009208,               0.009208,               0.009208,                      0,                 0.8537,                 0.6886,                  0.671,                0.66923,                0.69294,                0.22289,                0.15199,                0.46426,                 0.6706,                0.41104,             -0.0043621,                0.24549,                      0,                0.63855,                0.67546,                0.66493,                0.54027,                0.65321,                0.41049,                0.18651,                0.46069,                0.58093,                0.41104,              0.0077154,                  0.694,                      0,                0.64514,                0.68095,                0.66724,                0.57988,                0.64852,                0.34759,                0.17926,                0.46162,                  0.605,                0.41104,                0.65793,               0.023244,                      0,                0.91794,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                0.76353,                0.54078,                 1.3944,                0.09926,                0.75209,                0.74163,                0.77823,                0.62064,                0.72609,                0.49492,                 1.4537,                0.10542,               0.009109,               0.009109,               0.009109,                      0,                0.64791,                 0.6782,                0.66486,                0.58413,                 0.6428,                0.36245,                 0.1753,                0.46135,                0.61268,                0.41079,              0.0033349,                0.62881,                      0,                 0.6437,                0.67296,                0.66077,                0.52868,                0.65762,                0.42908,                0.18643,                0.46016,                0.56944,                0.41079,              0.0083982,                0.69571,                      0,                0.64549,                0.67822,                0.66436,                0.56381,                 0.6534,                0.37433,                0.18015,                0.46189,                0.59271,                0.41079,                0.67507,               0.018726,                      0,                0.85317,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
