                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/P5_gate_direction_loss,    p2/P5_ir_win_recall,p2/P5_object_balanced_loss,p2/P5_object_calibrated_loss,p2/P5_object_hard_winner_loss,p2/P5_object_prompt_accuracy,p2/P5_object_prompt_correlation,p2/P5_object_prompt_mae,p2/P5_object_prompt_rgb, p2/P5_object_rank_loss,p2/P5_object_target_rgb,   p2/P5_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                 1.3357,                 1.5295,                 1.5377,                0.02345,                0.36377,                0.57806,                0.44391,                0.30219,                 1.0223,                0.87279,                 1.5032,                0.02344,               0.070106,              0.0033215,              0.0033215,                      0,                0.95889,                0.69318,                0.69311,                0.69315,                0.70651,               0.034675,                0.15811,                0.49987,                0.69314,                0.41359,               0.039593,                      0,                0.96348,                0.69315,                0.69253,                0.69312,                0.70864,                0.03182,                0.15764,                0.49877,                0.69311,                0.41359,               0.035216,                      0,                0.96348,                0.69316,                0.69209,                0.69314,                0.70864,             -0.0015259,                0.15728,                0.49785,                0.69311,                0.41359,               0.035216,              3.032e-06,                      0,                 1.0107,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                 1.0622,                0.88785,                 1.4131,                0.04686,                0.57582,                0.67725,                0.62648,                0.46732,                0.83415,                0.66005,                 1.4489,                0.04683,                0.04004,               0.006589,               0.006589,                      0,                0.99998,                0.69311,                0.69198,                0.69311,                 0.7284,               0.049001,                0.15748,                0.49771,                0.69307,                0.41238,             0.00016022,                      0,                      1,                0.69323,                 0.6859,                0.69315,                0.72836,               0.070777,                 0.1531,                 0.4851,                0.69244,                0.41238,                      0,                      0,                      1,                0.69372,                0.68404,                0.69374,                0.72836,               0.016208,                 0.1518,                0.48025,                0.69293,                0.41238,                      0,             0.00012984,                      0,                 1.0097,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                0.89923,                0.69711,                 1.4062,                0.07013,                0.64933,                0.68812,                0.67977,                0.51802,                0.79915,                0.58347,                  1.559,                 0.0701,              0.0099086,              0.0097904,              0.0097904,                      0,                      1,                0.69366,                0.68413,                0.69354,                0.73011,               0.062409,                0.15084,                0.48063,                0.69242,                0.41206,             4.4649e-05,                      0,                0.98945,                0.69308,                0.67761,                0.69166,                 0.7279,                0.14977,                0.14699,                0.46892,                0.68813,                0.41206,                0.02039,                      0,                      1,                0.69422,                 0.6813,                0.69413,                 0.7301,               0.021815,                0.14884,                 0.4738,                0.69286,                0.41206,                      0,             0.00012782,                      0,                 1.0075,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.81577,                0.61027,                 1.4287,                0.09146,                 0.6794,                0.72177,                0.71125,                0.54639,                0.78173,                 0.5619,                 1.5384,                0.09156,               0.009703,               0.009703,               0.009703,                      0,                0.99999,                0.69488,                0.67794,                0.69434,                0.73616,               0.071026,                0.14834,                0.46645,                0.69165,                0.41068,             0.00013976,                      0,                0.72386,                 0.6792,                 0.6634,                0.63239,                0.66009,                0.30072,                0.15982,                0.46504,                0.62851,                0.41068,                0.48218,                      0,                0.99857,                0.69439,                0.68158,                0.69402,                0.73596,               0.019528,                0.15029,                 0.4746,                0.69278,                0.41068,              0.0033388,              0.0068497,                      0,                0.98603,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                0.80169,                 0.5865,                 1.4173,                0.11213,                0.71233,                0.72604,                0.74273,                0.58048,                0.75009,                0.53204,                 1.5223,                0.11456,               0.009604,               0.009604,               0.009604,                      0,                0.99999,                0.69491,                0.67847,                0.69426,                 0.7254,               0.079107,                0.14847,                0.46605,                0.69159,                0.41417,             0.00014583,                      0,                0.63488,                0.67777,                0.66794,                0.57168,                0.64229,                0.36562,                0.18194,                0.46361,                0.59806,                0.41417,                0.66184,                      0,                0.98267,                0.69414,                0.68225,                0.69336,                0.72112,               0.039148,                0.15034,                0.47547,                0.69189,                0.41417,               0.030304,               0.017136,                      0,                0.96612,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                 0.7827,                0.56315,                 1.4045,                0.11111,                0.73678,                0.70468,                0.74791,                0.57905,                0.76787,                0.54219,                 1.5026,                0.11438,               0.009505,               0.009505,               0.009505,                      0,                0.99998,                0.69495,                0.67649,                0.69407,                0.73651,               0.098533,                0.14659,                0.46338,                0.69076,                0.41059,             0.00022886,                      0,                0.63001,                 0.6761,                0.66437,                0.55505,                0.64349,                 0.3961,                0.18373,                0.46391,                 0.5782,                0.41059,                0.68117,                      0,                0.85661,                0.69017,                0.67641,                0.68289,                0.69061,                0.13757,                0.14881,                0.47239,                0.67683,                0.41059,                0.22671,               0.019245,                      0,                0.95785,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                0.77282,                0.55499,                 1.4011,                0.10979,                0.70032,                0.71881,                0.72986,                0.57405,                0.74455,                 0.5432,                 1.4883,                  0.113,               0.009406,               0.009406,               0.009406,                      0,                0.99997,                0.69475,                0.67573,                0.69377,                0.72968,                  0.114,                 0.1444,                  0.461,                0.69015,                0.41298,             0.00031201,                      0,                0.63472,                0.67669,                0.66485,                 0.5497,                0.64831,                0.40285,                0.18393,                0.46451,                0.58907,                0.41298,                  0.685,                      0,                 0.6752,                0.68498,                 0.6714,                0.62238,                0.64653,                0.27444,                0.16901,                0.47078,                0.63369,                0.41298,                0.56919,               0.022106,                      0,                0.94547,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                0.76835,                0.54574,                 1.3962,                0.10872,                0.73221,                0.70148,                0.74992,                0.58816,                 0.7438,                0.52533,                 1.4974,                0.11204,               0.009307,               0.009307,               0.009307,                      0,                0.99788,                0.69426,                0.67304,                0.69267,                 0.7354,                0.14566,                0.14596,                0.45768,                0.68776,                0.40945,              0.0077475,                      0,                  0.636,                0.67367,                0.66152,                0.53976,                0.65105,                0.41386,                0.18568,                0.46126,                0.58231,                0.40945,                0.69276,                      0,                0.68986,                0.68368,                0.66715,                0.59487,                0.66084,                0.32338,                0.17558,                0.46452,                0.62062,                0.40945,                0.58038,               0.024364,                      0,                0.93595,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76556,                 0.5441,                 1.3922,                0.10365,                0.72725,                0.73387,                0.75069,                0.59471,                0.73969,                 0.5123,                  1.494,                0.10893,               0.009208,               0.009208,               0.009208,                      0,                0.70039,                0.68244,                0.66857,                0.62796,                0.65021,                 0.2977,                0.16404,                0.46673,                0.64226,                0.41104,                0.51054,                      0,                0.64164,                0.67568,                0.66423,                0.54266,                0.65406,                0.40878,                0.18516,                0.45964,                0.58347,                0.41104,                0.68862,                      0,                0.70227,                0.68261,                0.66751,                 0.5853,                 0.6715,                0.33237,                0.17652,                 0.4616,                0.61045,                0.41104,                0.58586,               0.019664,                      0,                0.89167,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                 0.7638,                0.54066,                 1.3966,                0.09863,                0.74507,                0.74554,                0.77519,                0.61756,                0.72234,                0.49794,                 1.4738,                0.10583,               0.009109,               0.009109,               0.009109,                      0,                0.65938,                0.67915,                0.66616,                0.57277,                0.65089,                 0.3722,                0.17772,                0.45893,                0.60556,                0.41079,                0.62765,                      0,                0.64738,                0.67249,                0.65978,                0.53079,                0.65872,                0.42818,                0.18475,                0.45958,                0.56941,                0.41079,                0.68978,                      0,                0.70961,                0.68131,                0.66504,                0.57044,                0.67965,                0.36021,                0.17889,                0.46152,                0.60226,                0.41079,                0.59761,               0.017713,                      0,                0.84757,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
