                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_class0_prompt_accuracy,p2/P3_class0_prompt_correlation,p2/P3_class1_prompt_accuracy,p2/P3_class1_prompt_correlation,p2/P3_class2_prompt_accuracy,p2/P3_class2_prompt_correlation,p2/P3_class3_prompt_accuracy,p2/P3_class3_prompt_correlation,p2/P3_class4_prompt_accuracy,p2/P3_class4_prompt_correlation,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_class_winner_balanced_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_class0_prompt_accuracy,p2/P4_class0_prompt_correlation,p2/P4_class1_prompt_accuracy,p2/P4_class1_prompt_correlation,p2/P4_class2_prompt_accuracy,p2/P4_class2_prompt_correlation,p2/P4_class3_prompt_accuracy,p2/P4_class3_prompt_correlation,p2/P4_class4_prompt_accuracy,p2/P4_class4_prompt_correlation,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_class_winner_balanced_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                 1.3112,                   1.48,                 1.5647,                 0.0201,                0.34826,                0.60764,                0.45446,                0.31871,                0.96385,                0.90699,                 1.5121,                 0.0201,               0.070106,              0.0033215,              0.0033215,                0.69528,               0.035799,                0.75703,                0.06497,                0.81367,               0.006077,                0.75418,               0.064385,                0.77739,               0.061271,                      0,                0.96053,                0.69318,                 0.6931,                0.86642,                0.69314,                0.70729,               0.035209,                 0.1581,                0.49985,                0.69314,                0.41359,               0.038091,                0.69647,                0.03401,                0.75838,               0.045021,                0.81618,              -0.060711,                0.75549,               0.051046,                0.78123,               0.056834,                      0,                0.96348,                0.69315,                0.69241,                0.86618,                0.69312,                0.70864,               0.032921,                0.15754,                0.49852,                 0.6931,                0.41359,               0.035216,             1.8982e-06,                      0,                0.86634,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                  1.072,                0.88233,                 1.4214,                0.04016,                0.59556,                0.68472,                0.63967,                0.47596,                 0.8692,                0.68352,                 1.4561,                0.04016,                0.04004,               0.006589,               0.006589,                 0.7171,               0.048577,                0.76763,               0.070333,                0.83725,              -0.015501,                0.76336,                0.10205,                0.80823,               0.066577,                      0,                0.99998,                0.69311,                0.69196,                0.86607,                0.69311,                 0.7284,               0.047627,                0.15746,                0.49767,                0.69307,                0.41238,             0.00018935,                0.71707,               0.076018,                0.76763,               0.070494,                0.83715,              -0.029163,                0.76336,                  0.111,                0.80812,               0.068027,                      0,                      1,                0.69326,                0.68546,                0.86439,                0.69316,                0.72836,               0.073751,                0.15282,                0.48414,                0.69237,                0.41238,                      0,              0.0001105,                      0,                0.86551,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                0.89841,                0.69892,                 1.4078,                 0.0601,                0.64919,                0.63995,                0.65521,                0.49658,                0.80664,                0.61168,                 1.5907,                0.06019,              0.0099086,              0.0097904,              0.0097904,                0.71917,               0.062721,                0.76181,                0.08718,                0.82703,              0.0013926,                0.77771,                0.10643,                0.80416,               0.061531,                      0,                      1,                0.69368,                0.68414,                 0.8646,                0.69355,                0.73011,               0.061638,                0.15085,                0.48061,                0.69244,                0.41206,             2.9766e-05,                0.71756,                0.14425,                0.75733,                0.19715,                 0.8233,               0.085896,                0.76839,                0.18701,                0.79847,                0.16294,                      0,                 0.9892,                0.69342,                 0.6769,                0.86131,                0.69199,                0.72792,                0.14555,                0.14661,                0.46677,                 0.6884,                0.41206,               0.021149,              0.0001555,                      0,                 0.8635,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.81734,                0.61072,                 1.4296,                0.07852,                0.69117,                 0.7155,                 0.7197,                0.55236,                0.78059,                0.56223,                 1.5592,                0.07907,               0.009703,               0.009703,               0.009703,                0.72448,                0.06831,                0.76078,               0.082419,                0.84393,               0.014167,                0.78508,                0.12117,                0.82005,               0.088703,                      0,                0.99999,                 0.6953,                0.67674,                 0.8626,                0.69474,                0.73616,               0.067629,                0.14776,                 0.4632,                0.69155,                0.41068,             0.00013976,                0.67187,                0.26907,                 0.6723,                0.36468,                0.73275,                0.24713,                 0.6922,                0.28643,                0.72555,                  0.262,                      0,                0.77969,                0.68504,                0.66255,                0.81407,                0.64788,                0.67677,                0.27455,                0.15646,                0.45341,                0.64283,                0.41068,                0.38964,              0.0063903,                      0,                0.84643,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                0.80283,                0.58669,                 1.4188,                0.09654,                0.73813,                0.70945,                0.75255,                0.58976,                0.75387,                0.54194,                  1.521,                0.09931,               0.009604,               0.009604,               0.009604,                0.71233,               0.072047,                  0.772,               0.098366,                0.83619,               0.027784,                0.77703,                0.15602,                0.81071,                0.13322,                      0,                0.99999,                0.69529,                0.67769,                0.86307,                0.69465,                0.72539,               0.072785,                0.14816,                0.46373,                0.69162,                0.41417,             0.00010208,                0.63516,                0.34143,                0.58595,                0.39638,                0.68172,                0.34216,                0.63872,                0.36546,                0.67774,                0.35416,                      0,                0.62962,                0.67797,                0.66412,                0.77062,                0.59323,                0.63607,                0.34668,                0.17624,                0.46127,                0.61383,                0.41417,                0.65311,               0.015508,                      0,                0.83226,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                0.78134,                0.56209,                 1.4037,                  0.096,                0.72987,                0.68282,                0.73457,                0.57045,                0.76539,                0.55601,                 1.5203,                0.09914,               0.009505,               0.009505,               0.009505,                0.72483,               0.090222,                 0.7715,                0.13571,                0.83496,               0.064833,                  0.788,                0.17229,                  0.817,                0.10847,                      0,                0.99997,                0.69538,                0.67609,                0.86244,                0.69443,                0.73654,               0.092211,                0.14656,                0.46177,                0.69076,                0.41059,             0.00035091,                0.64388,                0.37407,                0.60135,                0.44629,                0.67472,                0.35871,                 0.6176,                0.36288,                0.65513,                0.37626,                      0,                0.63577,                0.67481,                0.65806,                0.76013,                0.57825,                0.64258,                0.37799,                0.17555,                0.45835,                0.59367,                0.41059,                0.66163,               0.017636,                      0,                0.82834,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                0.77292,                0.55439,                 1.4021,                0.09527,                0.71922,                0.71481,                0.74253,                0.58534,                0.74573,                0.53343,                 1.5091,                0.09641,               0.009406,               0.009406,               0.009406,                0.71125,                 0.1349,                0.76143,                 0.1709,                0.82285,                0.10326,                0.77031,                0.23093,                0.81119,                0.18051,                      0,                0.96846,                0.69289,                0.67548,                0.85824,                0.69011,                0.72355,                0.13834,                0.14503,                0.46479,                0.68553,                0.41298,               0.062685,                0.62841,                0.38745,                0.60949,                0.45803,                0.70196,                0.35588,                0.65169,                0.40863,                0.69173,                0.39049,                      0,                0.61019,                 0.6738,                0.66118,                0.74629,                0.56892,                 0.6333,                0.39371,                0.17872,                0.46909,                0.60543,                0.41298,                0.69565,               0.019037,                      0,                0.82092,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                0.76846,                 0.5463,                 1.3961,                0.08924,                0.72554,                0.72949,                0.76087,                0.59964,                0.73881,                0.51899,                  1.466,                0.09428,               0.009307,               0.009307,               0.009307,                0.59764,                0.32201,                 0.5904,                0.42831,                0.67268,                0.34907,                 0.6422,                0.35621,                0.64763,                0.37531,                      0,                0.59229,                0.68062,                0.66496,                0.77986,                0.61718,                0.60293,                0.33286,                0.17277,                0.46835,                0.63747,                0.40945,                0.63242,                0.63791,                0.39445,                0.60972,                0.46955,                0.69691,                0.37076,                 0.6485,                0.39929,                0.66437,                0.40831,                      0,                0.62419,                0.67178,                 0.6562,                0.74258,                0.56362,                0.63986,                0.40038,                0.17921,                0.46054,                0.59972,                0.40945,                0.68332,               0.010946,                      0,                0.76744,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76488,                0.54395,                 1.3938,                0.08861,                0.75152,                0.75866,                0.77588,                0.62249,                0.71823,                0.49159,                 1.4856,                0.09395,               0.009208,               0.009208,               0.009208,                0.62103,                0.33916,                 0.5977,                0.44759,                0.69152,                0.36199,                0.63349,                0.32523,                0.69188,                0.36842,                      0,                0.61815,                0.67889,                0.66374,                0.76908,                0.60093,                0.62537,                0.35198,                0.17234,                0.46407,                0.62909,                0.41104,                0.64547,                0.63343,                0.39294,                0.60625,                0.46255,                0.68611,                0.36036,                0.62383,                0.34945,                0.68853,                0.39283,                      0,                 0.6132,                0.67064,                0.65733,                0.74869,                0.56692,                0.63574,                 0.3987,                0.17865,                0.46565,                0.59866,                0.41104,                0.69849,              0.0085062,                      0,                0.76229,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                0.76318,                0.53941,                 1.3974,                0.08706,                0.73346,                0.77082,                0.78422,                  0.626,                0.72322,                0.49204,                 1.4487,                 0.0939,               0.009109,               0.009109,               0.009109,                0.63969,                 0.3647,                0.58815,                0.45537,                0.71557,                0.38018,                0.66262,                0.35518,                0.67973,                 0.3915,                      0,                0.64539,                0.67598,                0.65857,                0.75703,                0.58756,                0.64198,                0.37412,                0.17156,                0.45798,                 0.6131,                0.41079,                0.63266,                0.63934,                0.41156,                0.60172,                0.47237,                0.72083,                0.38921,                0.64515,                0.38235,                 0.6823,                 0.4282,                      0,                0.62353,                0.66956,                0.65413,                0.73489,                0.55487,                0.64228,                0.41706,                0.17925,                0.46165,                0.58794,                0.41079,                 0.6936,              0.0089335,                      0,                0.74965,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
