                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3156,                 1.4796,                 1.5616,                0.40955,                0.56788,                0.48407,                0.35765,                0.87656,                0.79668,                 1.5063,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0658,                 0.8831,                 1.4175,                0.59889,                0.67174,                0.63387,                0.48647,                0.81209,                0.64397,                 1.4367,                0.04004,               0.006589,               0.006589
                      3,                0.88586,                0.68669,                 1.4061,                0.60612,                0.65346,                0.65465,                0.50677,                0.78815,                0.62238,                 1.5526,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80244,                0.60318,                 1.4261,                0.68716,                 0.7201,                0.73546,                0.58183,                0.75513,                 0.5523,                 1.4984,               0.009703,               0.009703,               0.009703
                      5,                0.78831,                0.58144,                 1.4155,                0.64958,                0.66705,                0.67682,                0.52988,                0.77031,                0.58307,                 1.5625,               0.009604,               0.009604,               0.009604
                      6,                0.77166,                0.55978,                 1.4003,                0.71981,                0.73275,                0.75978,                0.60526,                 0.7495,                0.52587,                 1.5163,               0.009505,               0.009505,               0.009505
                      7,                0.76286,                0.54618,                 1.4025,                0.76058,                0.73724,                0.77542,                0.62922,                 0.7113,                0.50494,                 1.4727,               0.009406,               0.009406,               0.009406
                      8,                0.75782,                0.54232,                 1.4052,                0.66183,                0.71803,                0.69805,                0.55626,                0.73986,                 0.5508,                 1.4896,               0.009307,               0.009307,               0.009307
                      9,                0.75272,                0.53272,                 1.3904,                0.76823,                0.76099,                0.80177,                 0.6487,                0.71352,                0.48728,                 1.4383,               0.009208,               0.009208,               0.009208
                     10,                0.74798,                0.53046,                 1.3846,                0.74258,                0.76002,                0.78077,                0.63506,                0.70509,                 0.4844,                 1.4725,               0.009109,               0.009109,               0.009109
                     11,                0.74348,                0.52273,                 1.3864,                0.78521,                 0.7682,                0.81173,                0.65871,                0.70328,                0.48857,                 1.4943,                0.00901,                0.00901,                0.00901
                     12,                0.73829,                0.51489,                 1.3859,                0.74993,                0.78078,                0.81051,                0.66351,                0.68948,                0.47036,                 1.4499,               0.008911,               0.008911,               0.008911
                     13,                0.73494,                  0.516,                 1.3793,                0.71658,                0.69175,                0.74102,                0.59545,                0.72939,                0.53577,                 1.4857,               0.008812,               0.008812,               0.008812
                     14,                0.73102,                0.51253,                 1.3785,                0.77426,                0.77359,                 0.8135,                0.66825,                0.68889,                 0.4619,                  1.444,               0.008713,               0.008713,               0.008713
                     15,                0.72972,                0.50827,                 1.3814,                0.77822,                0.78647,                0.82291,                0.67911,                0.68415,                0.46482,                 1.4379,               0.008614,               0.008614,               0.008614
                     16,                0.72508,                  0.501,                 1.3738,                0.78156,                0.78923,                0.82591,                0.67802,                0.68328,                0.45254,                 1.4604,               0.008515,               0.008515,               0.008515
                     17,                0.72257,                0.49882,                 1.3819,                0.77598,                0.75937,                0.80621,                0.65775,                0.69026,                 0.4749,                 1.4759,               0.008416,               0.008416,               0.008416
                     18,                 0.7189,                0.49536,                 1.3713,                0.74567,                0.78531,                0.81165,                0.66307,                0.68999,                0.46711,                 1.4742,               0.008317,               0.008317,               0.008317
                     19,                 0.7167,                 0.4913,                 1.3841,                0.79089,                0.77715,                0.82466,                0.67708,                0.68612,                0.45429,                 1.4628,               0.008218,               0.008218,               0.008218
                     20,                0.71702,                0.49219,                  1.377,                0.78484,                0.78932,                0.83376,                0.68431,                0.67731,                0.44908,                 1.4714,               0.008119,               0.008119,               0.008119
                     21,                0.71681,                0.48866,                 1.3744,                 0.8079,                0.77901,                0.83466,                 0.6875,                0.67518,                0.44203,                 1.4636,                0.00802,                0.00802,                0.00802
