                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3056,                 1.4881,                 1.5482,                0.34985,                0.61119,                0.42406,                0.30842,                 1.1142,                 1.0532,                 1.4374,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0646,                0.88895,                 1.4147,                0.57388,                0.67599,                0.62565,                0.46966,                0.85312,                0.66825,                 1.4406,                0.04004,               0.006589,               0.006589
                      3,                0.88727,                0.69091,                  1.407,                0.60503,                0.59448,                0.60991,                0.46061,                0.84159,                0.65239,                 1.6067,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80295,                0.60538,                 1.4238,                0.69443,                0.72243,                0.73239,                0.57822,                0.75666,                0.56571,                 1.4874,               0.009703,               0.009703,               0.009703
                      5,                0.78733,                0.58079,                 1.4157,                0.64402,                0.63991,                0.65373,                0.50213,                0.77914,                0.59796,                 1.5411,               0.009604,               0.009604,               0.009604
                      6,                0.77287,                0.56107,                 1.4013,                0.70728,                0.69336,                0.72756,                0.56903,                0.75727,                0.57037,                 1.5083,               0.009505,               0.009505,               0.009505
                      7,                0.76437,                0.54891,                 1.4003,                0.75511,                0.73903,                0.76477,                0.61952,                0.71722,                0.49896,                 1.4747,               0.009406,               0.009406,               0.009406
                      8,                 0.7577,                0.54388,                 1.4031,                0.75237,                0.73988,                0.77798,                0.62796,                0.71832,                0.49828,                 1.4566,               0.009307,               0.009307,               0.009307
                      9,                0.75376,                0.53357,                 1.3902,                0.76177,                0.74951,                0.77894,                0.63191,                0.70794,                0.48568,                 1.4474,               0.009208,               0.009208,               0.009208
                     10,                0.74725,                0.53036,                 1.3855,                0.75525,                0.75796,                 0.7897,                0.64407,                0.69712,                0.48317,                  1.482,               0.009109,               0.009109,               0.009109
                     11,                0.74341,                0.52266,                 1.3841,                0.76019,                0.75833,                0.79214,                0.64027,                0.71219,                0.50279,                 1.4524,                0.00901,                0.00901,                0.00901
