                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/reliability_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/reliability_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,         p2/P3_gate_std,p2/P3_gate_teacher_agreement,     p2/P3_ir_gate_mean,   p2/P3_ir_prompt_mean,       p2/P3_prompt_std,p2/P3_prompt_teacher_agreement,p2/P3_prompt_teacher_mae,    p2/P3_rgb_gate_mean,    p2/P3_rgb_prompt_fg,  p2/P3_rgb_prompt_mean,       p2/P3_target_rgb,         p2/P4_gate_std,p2/P4_gate_teacher_agreement,     p2/P4_ir_gate_mean,   p2/P4_ir_prompt_mean,       p2/P4_prompt_std,p2/P4_prompt_teacher_agreement,p2/P4_prompt_teacher_mae,    p2/P4_rgb_gate_mean,    p2/P4_rgb_prompt_fg,  p2/P4_rgb_prompt_mean,       p2/P4_target_rgb,  p2/teacher_ir_quality,p2/teacher_relative_entropy,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/reliability_warmup_factor
                      1,                 1.3233,                 1.4769,                 1.5758,                0.00343,                0.37991,                0.56977,                0.44567,                0.32422,                 1.0334,                0.86317,                 1.5014,                 0.0034,               0.070106,              0.0033215,              0.0033215,                 0.5219,                0.76657,                  1.485,                0.52686,               0.026863,                0.76657,                0.14495,                0.51502,                0.47314,                0.47314,                0.39562,                0.45106,                0.23591,                0.55356,                0.51468,               0.014676,                0.74791,                0.14949,                 1.4464,                0.48531,                0.48532,                0.40037,                0.58122,                0.56327,                0.31748,                0.48103,                    0.1
                      2,                 1.0639,                0.87855,                 1.4189,                0.00674,                0.56181,                0.66157,                0.62603,                  0.472,                0.87747,                 0.6793,                 1.4585,                0.00674,                0.04004,               0.006589,               0.006589,                0.59545,                0.78312,                 1.5324,                0.57982,               0.079816,                0.78313,                0.13609,                0.46763,                0.42018,                0.42018,                0.39548,                 0.5456,                0.23606,                0.46383,                0.55698,               0.056997,                0.76394,                  0.139,                 1.5362,                0.44283,                0.44302,                0.40027,                0.58451,                0.56446,                0.31661,                0.48417,                    0.2
                      3,                0.89954,                0.69296,                 1.4091,                0.01008,                0.60488,                0.63602,                0.63262,                0.47888,                0.81333,                0.62183,                 1.6161,                0.01011,              0.0099086,              0.0097904,              0.0097904,                0.58608,                0.78477,                 1.5319,                0.60231,                0.10231,                0.78483,                0.13626,                0.46811,                0.39769,                0.39769,                0.39576,                0.56301,                0.23471,                 0.4564,                 0.5903,                0.09036,                0.76529,                0.13792,                 1.5436,                0.40921,                 0.4097,                 0.4004,                0.58633,                0.56461,                0.31605,                 0.4849,                    0.3
                      4,                0.81508,                0.60869,                 1.4286,                0.01342,                0.66244,                 0.7154,                0.70752,                0.54267,                0.76661,                0.55819,                 1.5217,                0.01348,               0.009703,               0.009703,               0.009703,                0.56855,                0.78837,                 1.5215,                0.60591,                0.10591,                0.78839,                0.13787,                0.47848,                 0.3941,                0.39409,                0.39352,                 0.5388,                0.23128,                 0.4789,                0.59892,               0.099004,                0.76872,                0.13999,                 1.5211,                 0.4003,                0.40108,                0.39845,                0.58518,                0.56397,                0.31798,                0.48275,                    0.4
                      5,                0.80122,                0.58725,                 1.4203,                0.01679,                0.65139,                0.66889,                0.67719,                0.52263,                0.78031,                0.57562,                 1.5585,                0.01685,               0.009604,               0.009604,               0.009604,                0.56954,                0.78553,                 1.5256,                0.60584,                0.10584,                0.78553,                0.13817,                0.47435,                0.39418,                0.39416,                0.39458,                0.55191,                0.23367,                0.46505,                0.59901,               0.099078,                0.76633,                0.13976,                  1.535,                0.40013,                0.40099,                0.39951,                0.58639,                0.56556,                0.31543,                0.48531,                    0.5
                      6,                0.78385,                0.56502,                 1.4047,                0.02013,                 0.7196,                0.74678,                0.76861,                0.60702,                0.75005,                0.51392,                 1.4978,                0.02022,               0.009505,               0.009505,               0.009505,                0.56942,                0.78551,                 1.5249,                0.60659,                0.10659,                0.78551,                0.13853,                0.47513,                0.39343,                0.39341,                  0.394,                0.53794,                 0.2335,                 0.4766,                0.60047,                0.10055,                 0.7665,                0.14042,                 1.5234,                0.39852,                0.39953,                0.39893,                0.58415,                0.56398,                0.31673,                0.48236,                    0.6
                      7,                0.77487,                0.55133,                 1.4064,                 0.0235,                0.73297,                0.75801,                0.78352,                0.62491,                0.72801,                0.50349,                  1.473,                0.02359,               0.009406,               0.009406,               0.009406,                0.56995,                0.78668,                 1.5258,                 0.6045,                 0.1045,                0.78668,                0.13642,                0.47424,                0.39552,                 0.3955,                 0.3951,                0.53774,                0.23222,                0.47566,                0.59843,               0.098507,                0.76778,                 0.1385,                 1.5243,                0.40026,                0.40157,                 0.3999,                0.58731,                0.56553,                0.31505,                0.48674,                    0.7
                      8,                0.76974,                0.54781,                 1.4041,                0.02684,                0.75531,                0.75943,                0.79384,                0.63498,                0.72337,                0.48647,                 1.4731,                0.02695,               0.009307,               0.009307,               0.009307,                0.57284,                0.78645,                 1.5287,                0.60604,                0.10604,                0.78645,                0.13769,                 0.4713,                0.39399,                0.39396,                0.39403,                0.54019,                 0.2321,                0.47205,                0.60004,                0.10018,                 0.7679,                0.13927,                  1.528,                0.39805,                0.39996,                0.39872,                0.58691,                0.56582,                0.31466,                0.48523,                    0.8
                      9,                0.76432,                0.53778,                 1.3936,                0.03016,                0.78278,                 0.7584,                0.80043,                 0.6364,                0.72055,                0.48318,                 1.4443,                0.03032,               0.009208,               0.009208,               0.009208,                0.57379,                0.79251,                 1.5295,                0.60576,                0.10576,                0.79251,                0.13685,                0.47048,                0.39426,                0.39424,                0.39209,                0.54085,                0.22723,                0.47052,                0.60017,                 0.1004,                0.77277,                0.13852,                 1.5295,                0.39741,                0.39983,                 0.3971,                0.58879,                0.56631,                0.31512,                0.48604,                    0.9
                     10,                0.76007,                0.53562,                  1.387,                0.03358,                0.75026,                0.75848,                0.79425,                 0.6402,                0.71134,                0.48321,                 1.4913,                0.03368,               0.009109,               0.009109,               0.009109,                0.58404,                0.78491,                 1.5415,                0.60406,                0.10406,                0.78491,                0.13606,                0.45854,                0.39597,                0.39594,                0.39591,                0.53968,                 0.2341,                0.47086,                0.59754,               0.097874,                 0.7659,                0.13799,                 1.5291,                0.39951,                0.40246,                0.40027,                0.58533,                0.56476,                0.31655,                0.48417,                      1
                     11,                 0.7549,                0.52711,                 1.3901,                0.03358,                0.74527,                0.75193,                0.78572,                0.62915,                0.71665,                0.49127,                 1.4718,                0.03367,                0.00901,                0.00901,                0.00901,                0.58955,                0.78748,                 1.5474,                 0.6046,                 0.1046,                0.78748,                0.13513,                0.45256,                0.39542,                 0.3954,                0.39602,                 0.5464,                0.23128,                 0.4638,                0.59758,               0.098151,                0.76872,                0.13629,                 1.5362,                0.39867,                0.40242,                 0.4006,                 0.5888,                0.56769,                0.31297,                0.48885,                      1
