                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,p2/P3_gate_prompt_direction_agreement,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_gate_accuracy,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,  p2/P3_prompt_strength,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,p2/P4_gate_prompt_direction_agreement,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_gate_accuracy,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,  p2/P4_prompt_strength,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                 1.3168,                 1.4831,                 1.5794,                0.00457,                 0.3741,                0.56487,                0.45704,                0.33407,                 1.0017,                0.82692,                 1.4821,                0.00455,               0.070106,              0.0033215,              0.0033215,                0.80703,                0.99999,                0.96928,                 0.6932,                  0.692,                0.71097,                0.71097,              -0.053133,                0.15809,                0.49756,                0.69324,                0.41307,                0.99997,               0.027895,                 1.2892,                0.83363,                0.16545,                0.69334,                0.69529,                0.27439,                0.34812,              -0.028824,                0.16162,                 0.5039,                0.69328,                0.41307,                0.99994,                0.83117,             3.0045e-05,                0.15058,                0.69317,                0.57662,                0.31811,                0.47728,                0.27439,                0.72561,                0.72561,                    0.1
                      2,                  1.064,                0.87763,                 1.4194,                 0.0091,                 0.5822,                 0.6697,                0.63396,                0.47242,                0.83636,                0.65256,                 1.4653,                0.00902,                0.04004,               0.006589,               0.006589,                0.76762,                      1,                      1,                0.69348,                0.68761,                0.72648,                0.72648,              -0.043481,                0.15446,                  0.488,                0.69349,                0.41275,                0.99886,                      0,                 1.4239,                0.12778,                0.87053,                0.69337,                0.68722,                0.27352,                0.66615,               0.068078,                0.15459,                0.48762,                0.69248,                0.41275,                0.99856,                0.12329,             3.3144e-05,                0.14981,                0.69046,                0.57994,                0.31752,                0.48022,                0.27352,                0.72648,                0.72648,                    0.2
                      3,                0.89536,                0.69493,                 1.4098,                0.01353,                0.60687,                0.68616,                0.64973,                 0.4946,                0.79795,                0.59774,                 1.5788,                0.01352,              0.0099086,              0.0097904,              0.0097904,                0.73447,                0.99969,                0.99999,                0.69408,                0.68276,                0.72828,                0.72831,              -0.024962,                0.15056,                0.47688,                0.69359,                0.41209,                0.99422,                      0,                 1.4138,             0.00054621,                0.99962,                 0.6949,                 0.6777,                0.27169,                0.72831,               0.091501,                0.14808,                0.46522,                 0.6911,                0.41209,                0.99323,             0.00099787,             0.00016347,                0.14505,                0.68771,                0.58377,                0.31608,                0.48301,                0.27169,                0.72831,                0.72831,                    0.3
                      4,                0.81536,                0.60929,                 1.4251,                0.01796,                0.66078,                0.69473,                0.69279,                0.53303,                0.77939,                0.56309,                 1.5199,                0.01794,               0.009703,               0.009703,               0.009703,                 0.7222,                0.99943,                0.99968,                0.69369,                0.68428,                0.73143,                0.73138,              0.0054229,                0.15228,                0.48116,                0.69311,                0.41144,                0.98006,              0.0008511,                 1.3427,                      0,                      1,                0.69726,                0.67187,                0.26861,                0.73139,               0.077839,                0.14673,                0.44901,                 0.6905,                0.41144,                0.97766,                      0,             0.00063568,                0.14105,                0.68751,                0.58154,                0.31764,                0.48009,                0.26861,                0.73139,                0.73139,                    0.4
                      5,                0.79999,                 0.5859,                 1.4188,                 0.0224,                0.68395,                0.74817,                0.73067,                0.57185,                0.75472,                0.54169,                 1.4887,                0.02236,               0.009604,               0.009604,               0.009604,                 0.7244,                0.99996,                      1,                0.69436,                0.67946,                0.73212,                0.73213,               0.081967,                0.14815,                 0.4701,                0.69198,                0.41178,                0.96309,             3.0094e-05,                 1.3291,                      0,                      1,                0.69678,                0.67248,                0.26788,                0.73212,               0.093713,                0.14535,                0.45127,                0.69017,                0.41178,                0.96369,                      0,             0.00029541,                0.14089,                0.68615,                0.58357,                0.31502,                0.48308,                0.26788,                0.73212,                0.73212,                    0.5
                      6,                0.78499,                0.56612,                 1.4033,                0.02678,                0.74211,                0.73256,                0.76422,                0.60381,                0.74674,                0.51833,                 1.4806,                0.02684,               0.009505,               0.009505,               0.009505,                0.72917,                0.99999,                0.99999,                0.69403,                0.67538,                0.73077,                0.73078,                0.19799,                0.14761,                 0.4629,                0.68871,                0.41158,                0.94111,             2.9507e-05,                 1.2581,                      0,                      1,                0.69649,                0.67182,                0.26923,                0.73077,                0.10876,                0.14612,                0.45062,                0.68918,                0.41158,                0.94937,                      0,             0.00016676,                0.13916,                0.68452,                0.58147,                0.31718,                0.48018,                0.26923,                0.73077,                0.73077,                    0.6
                      7,                0.77534,                0.55164,                  1.405,                 0.0311,                0.74839,                0.73918,                0.78558,                0.62828,                0.73011,                0.50547,                 1.4815,                0.03096,               0.009406,               0.009406,               0.009406,                0.73649,                      1,                      1,                0.69343,                0.66604,                 0.7319,                 0.7319,                0.29863,                0.14312,                0.44601,                0.67984,                0.41235,                0.91321,                      0,                 1.2287,                      0,                      1,                0.69719,                0.67003,                 0.2681,                 0.7319,                0.13793,                0.14454,                0.44529,                0.68795,                0.41235,                0.93674,                      0,             0.00018255,                0.13916,                0.68103,                0.58358,                0.31518,                0.48351,                 0.2681,                 0.7319,                 0.7319,                    0.7
                      8,                0.76923,                0.54742,                 1.4066,                 0.0352,                0.75606,                0.76393,                0.79136,                0.63152,                0.72823,                 0.4883,                 1.4716,                0.03533,               0.009307,               0.009307,               0.009307,                0.73035,                      1,                      1,                0.68999,                 0.6542,                0.73227,                0.73227,                0.35063,                0.13961,                0.42938,                0.66358,                0.41137,                0.87272,                      0,                 1.2008,             2.0374e-05,                0.99998,                0.69747,                0.66671,                0.26773,                0.73227,                0.16253,                 0.1438,                0.43805,                0.68551,                0.41137,                0.92361,              3.044e-05,             0.00056859,                0.13741,                0.67543,                0.58421,                0.31482,                 0.4831,                0.26773,                0.73227,                0.73227,                    0.8
                      9,                0.76502,                0.53845,                 1.3945,                0.03932,                0.77239,                0.78259,                0.80952,                0.64474,                0.73041,                0.48042,                 1.4437,                0.03972,               0.009208,               0.009208,               0.009208,                0.72547,                      1,                      1,                0.68613,                0.64571,                0.73491,                0.73491,                 0.3607,                0.13683,                0.42096,                0.65348,                0.41024,                0.83062,                      0,                 1.1801,                      0,                      1,                0.69687,                0.66641,                0.26509,                0.73491,                0.18353,                0.14346,                0.43919,                0.68459,                0.41024,                0.90929,                      0,              0.0013337,                0.13607,                0.67116,                 0.5853,                0.31562,                0.48306,                0.26509,                0.73491,                0.73491,                    0.9
                     10,                0.76119,                0.53596,                 1.3888,                0.04347,                0.77525,                0.76907,                0.80372,                 0.6478,                0.70932,                0.47951,                 1.4889,                0.04384,               0.009109,               0.009109,               0.009109,                0.73163,                      1,                      1,                0.68259,                0.64225,                0.73036,                0.73036,                0.35891,                0.13683,                0.42036,                0.64196,                0.41188,                0.78942,                      0,                 1.1325,             1.5978e-05,                0.99999,                0.69757,                 0.6636,                0.26965,                0.73036,                0.22374,                0.14386,                0.43165,                0.67979,                0.41188,                0.89555,             1.4814e-05,              0.0019628,                 0.1353,                0.66847,                0.58274,                0.31667,                0.48211,                0.26964,                0.73036,                0.73036,                      1
