                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7197,                 1.7336,                 1.2021,                0.67831,                0.57742,                0.63356,                0.33669,                 1.5097,                0.92547,                 1.1154,               0.070462,              0.0032821,              0.0032821
                      2,                 1.4101,                0.88971,                 1.0551,                0.71168,                0.58652,                  0.656,                0.32528,                 1.5889,                  1.003,                 1.1385,               0.040396,              0.0065499,              0.0065499
                      3,                 1.4361,                0.89279,                 1.0577,                0.59422,                0.44343,                0.46662,                0.21762,                 1.8367,                 1.4394,                  1.329,               0.010265,              0.0097517,              0.0097517
                      4,                 1.4793,                0.90864,                 1.0825,                0.67564,                0.49067,                0.55037,                0.27721,                 1.6443,                 1.2437,                 1.2332,               0.009703,               0.009703,               0.009703
                      5,                 1.4447,                0.87514,                 1.0685,                0.59825,                0.48346,                0.51985,                0.26724,                 1.6198,                 1.3017,                 1.2296,               0.009604,               0.009604,               0.009604
                      6,                 1.4208,                 0.8471,                  1.058,                0.61723,                0.53051,                0.56816,                0.29077,                 1.6377,                 1.2391,                 1.2068,               0.009505,               0.009505,               0.009505
                      7,                 1.3909,                0.81688,                  1.049,                0.71329,                 0.5619,                0.62747,                0.32265,                 1.5625,                 1.0662,                 1.1822,               0.009406,               0.009406,               0.009406
                      8,                 1.3706,                0.79835,                 1.0369,                0.66991,                0.58824,                0.63749,                0.33023,                 1.5319,                  1.043,                 1.1613,               0.009307,               0.009307,               0.009307
                      9,                 1.3632,                0.78192,                 1.0356,                0.68034,                0.54527,                0.59453,                0.30738,                 1.5671,                  1.083,                 1.1796,               0.009208,               0.009208,               0.009208
                     10,                 1.3402,                0.76861,                 1.0294,                0.59088,                0.34241,                0.38402,                0.19764,                 1.7385,                 1.9629,                 1.2731,               0.009109,               0.009109,               0.009109
                     11,                 1.3275,                0.75343,                 1.0258,                 0.6873,                0.58959,                0.65088,                0.34723,                 1.4891,                 1.0039,                 1.1557,                0.00901,                0.00901,                0.00901
                     12,                 1.3181,                0.74883,                 1.0225,                0.77424,                0.62715,                0.71302,                0.38202,                 1.4684,                0.88039,                 1.1372,               0.008911,               0.008911,               0.008911
                     13,                 1.3097,                0.73012,                 1.0162,                0.70927,                0.46581,                0.54313,                0.27809,                 1.6618,                 1.3042,                  1.227,               0.008812,               0.008812,               0.008812
                     14,                 1.3173,                0.72929,                 1.0132,                0.72921,                 0.6227,                0.70883,                0.38036,                 1.4367,                0.92199,                 1.1293,               0.008713,               0.008713,               0.008713
                     15,                 1.2865,                0.71583,                 1.0066,                0.72769,                0.58249,                0.65649,                0.33596,                 1.5448,                0.90927,                 1.1436,               0.008614,               0.008614,               0.008614
                     16,                 1.2872,                0.70869,                  1.007,                0.67282,                0.60006,                0.65374,                0.34869,                  1.491,                0.95105,                 1.1656,               0.008515,               0.008515,               0.008515
                     17,                 1.2867,                0.70555,                 1.0058,                0.75124,                0.61606,                0.69967,                0.37202,                 1.4486,                 0.8565,                 1.1134,               0.008416,               0.008416,               0.008416
                     18,                 1.2797,                0.70444,                 1.0024,                0.69174,                0.52085,                0.60537,                0.33071,                 1.4967,                 1.1443,                 1.1622,               0.008317,               0.008317,               0.008317
                     19,                 1.2546,                0.68577,                0.99709,                0.74118,                0.63005,                0.70563,                0.37951,                 1.4263,                0.85562,                 1.1203,               0.008218,               0.008218,               0.008218
                     20,                 1.2574,                0.68377,                0.99665,                0.75129,                0.66358,                 0.7355,                0.40665,                 1.3878,                0.79214,                 1.0999,               0.008119,               0.008119,               0.008119
                     21,                 1.2553,                0.68081,                 0.9969,                0.65221,                0.50554,                0.57246,                0.30843,                 1.5559,                 1.2326,                 1.1574,                0.00802,                0.00802,                0.00802
                     22,                 1.2347,                0.67076,                0.98986,                0.72443,                0.58822,                0.66713,                0.34876,                 1.5251,                0.90411,                 1.1577,               0.007921,               0.007921,               0.007921
                     23,                 1.2425,                0.66643,                0.99664,                0.72029,                0.68887,                 0.7243,                0.39092,                 1.4309,                0.81335,                 1.1072,               0.007822,               0.007822,               0.007822
                     24,                  1.226,                0.65756,                0.98591,                0.77478,                0.62989,                0.70803,                0.37218,                 1.4905,                0.86205,                 1.1298,               0.007723,               0.007723,               0.007723
                     25,                 1.2402,                0.66642,                 0.9883,                0.76899,                0.67801,                0.75255,                0.40232,                 1.4149,                0.81084,                 1.1093,               0.007624,               0.007624,               0.007624
                     26,                 1.2144,                0.65355,                0.97849,                0.74972,                0.62612,                0.71074,                0.38472,                 1.4547,                0.84784,                 1.1219,               0.007525,               0.007525,               0.007525
                     27,                  1.217,                0.64877,                0.98229,                0.78556,                0.63522,                0.72049,                 0.3875,                 1.4373,                0.83011,                 1.1151,               0.007426,               0.007426,               0.007426
                     28,                 1.2302,                0.65172,                0.98128,                0.75517,                0.67691,                0.73912,                0.39152,                 1.4502,                0.82142,                 1.1286,               0.007327,               0.007327,               0.007327
                     29,                 1.2131,                 0.6477,                0.98276,                 0.7504,                0.65016,                0.71328,                0.39099,                 1.4116,                0.81077,                  1.113,               0.007228,               0.007228,               0.007228
                     30,                  1.207,                0.63722,                0.97833,                0.76549,                0.66906,                0.73601,                0.40458,                 1.3895,                0.81235,                 1.0958,               0.007129,               0.007129,               0.007129
                     31,                 1.1995,                0.63479,                0.97748,                0.78233,                0.64074,                0.73147,                0.39905,                 1.4305,                0.83091,                 1.1018,                0.00703,                0.00703,                0.00703
                     32,                 1.1915,                0.63174,                 0.9751,                0.76924,                0.66535,                0.73409,                0.39506,                 1.4457,                0.81311,                 1.1105,               0.006931,               0.006931,               0.006931
                     33,                 1.1998,                0.62666,                0.97053,                0.74385,                0.71237,                0.76298,                0.41308,                  1.399,                0.77423,                 1.1037,               0.006832,               0.006832,               0.006832
                     34,                  1.175,                0.61605,                0.96936,                0.75263,                0.63472,                0.71654,                0.37116,                 1.5068,                0.81439,                 1.1373,               0.006733,               0.006733,               0.006733
                     35,                 1.1822,                0.61741,                0.97196,                0.79789,                0.68066,                0.75496,                0.41328,                 1.3986,                0.75612,                 1.0985,               0.006634,               0.006634,               0.006634
