                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3726,                 1.4942,                 1.6291,                0.42489,                0.51895,                0.46473,                0.34018,                 1.0185,                  1.029,                 1.4297,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0764,                0.90952,                 1.4212,                0.56509,                0.64959,                0.61669,                  0.462,                0.87878,                  0.701,                 1.4711,                0.04004,               0.006589,               0.006589
                      3,                0.89204,                0.69603,                 1.4135,                0.62809,                0.64735,                0.65992,                0.50701,                 0.7906,                0.60903,                 1.5871,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80786,                0.61007,                 1.4296,                0.65788,                0.68701,                0.69243,                0.53352,                 0.7764,                0.60338,                 1.5171,               0.009703,               0.009703,               0.009703
                      5,                0.79251,                0.58537,                  1.422,                0.67971,                0.68359,                0.70575,                0.54824,                0.78597,                0.58989,                 1.5505,               0.009604,               0.009604,               0.009604
                      6,                0.77601,                0.56436,                 1.4051,                0.65322,                0.61179,                0.65414,                0.50777,                0.79918,                0.63089,                 1.5324,               0.009505,               0.009505,               0.009505
                      7,                 0.7682,                0.55147,                 1.4078,                 0.7494,                0.73784,                0.77947,                0.62819,                0.72203,                 0.5088,                 1.4817,               0.009406,               0.009406,               0.009406
                      8,                0.76388,                0.54871,                 1.4076,                 0.7373,                0.73459,                0.76157,                0.61287,                0.72398,                0.50625,                 1.4675,               0.009307,               0.009307,               0.009307
                      9,                0.75851,                 0.5386,                 1.3933,                0.77185,                0.74785,                 0.7945,                0.64051,                0.71224,                0.49226,                 1.4728,               0.009208,               0.009208,               0.009208
                     10,                0.75371,                0.53573,                 1.3888,                0.76038,                0.73497,                0.77719,                0.62006,                0.72908,                0.51818,                 1.5059,               0.009109,               0.009109,               0.009109
                     11,                0.75038,                0.52856,                 1.3903,                0.69743,                0.69603,                0.73531,                0.57139,                0.76917,                0.56907,                 1.5734,                0.00901,                0.00901,                0.00901
                     12,                0.74472,                0.52234,                 1.3882,                0.76943,                0.76141,                0.79672,                0.64704,                0.69809,                0.47533,                 1.4659,               0.008911,               0.008911,               0.008911
                     13,                0.74114,                0.52182,                 1.3864,                0.77545,                0.75335,                0.80628,                0.64816,                0.70718,                0.48165,                 1.4792,               0.008812,               0.008812,               0.008812
                     14,                0.73719,                0.51817,                 1.3801,                0.75418,                0.77147,                0.79216,                0.64755,                0.69568,                0.47589,                  1.454,               0.008713,               0.008713,               0.008713
                     15,                0.73631,                0.51412,                 1.3833,                0.78923,                0.77354,                0.81869,                0.67003,                0.69239,                0.46675,                 1.4469,               0.008614,               0.008614,               0.008614
                     16,                0.73253,                0.50754,                 1.3798,                0.79066,                0.78019,                0.82021,                0.66903,                0.69006,                0.46086,                 1.4564,               0.008515,               0.008515,               0.008515
                     17,                0.73062,                0.50639,                 1.3831,                  0.695,                0.64069,                0.69397,                0.53076,                 0.7978,                0.60051,                 1.6308,               0.008416,               0.008416,               0.008416
                     18,                0.72532,                0.50151,                 1.3761,                0.78759,                0.76683,                0.82006,                0.66848,                0.68946,                0.45828,                 1.4695,               0.008317,               0.008317,               0.008317
                     19,                0.72419,                0.49804,                 1.3873,                0.70784,                0.66643,                0.70544,                0.54703,                0.77352,                0.58074,                 1.5998,               0.008218,               0.008218,               0.008218
                     20,                0.72363,                0.49845,                 1.3811,                0.79941,                0.77696,                0.82335,                0.67311,                0.68618,                0.45943,                 1.4625,               0.008119,               0.008119,               0.008119
                     21,                0.72227,                0.49372,                 1.3817,                0.80671,                0.79409,                0.84359,                0.69427,                0.67826,                0.43985,                 1.4642,                0.00802,                0.00802,                0.00802
                     22,                0.71467,                0.49196,                 1.3784,                0.81178,                0.81281,                 0.8411,                0.69417,                0.67426,                0.43489,                 1.4578,               0.007921,               0.007921,               0.007921
                     23,                 0.7184,                0.49117,                 1.3876,                 0.8041,                0.78934,                0.83309,                0.68699,                0.67599,                0.43837,                 1.4636,               0.007822,               0.007822,               0.007822
                     24,                0.71397,                 0.4878,                 1.3788,                0.81099,                0.77988,                0.83324,                0.68946,                0.67311,                0.43499,                 1.4503,               0.007723,               0.007723,               0.007723
                     25,                0.71159,                0.48167,                 1.3778,                0.80226,                0.81876,                0.84383,                0.69707,                0.67093,                0.43222,                 1.4446,               0.007624,               0.007624,               0.007624
                     26,                0.70917,                0.47917,                 1.3783,                0.81652,                 0.8032,                0.85486,                0.70792,                0.67217,                0.42876,                 1.4417,               0.007525,               0.007525,               0.007525
                     27,                 0.7035,                0.47724,                 1.3723,                0.80034,                0.80694,                0.84597,                0.70005,                0.66952,                 0.4298,                 1.4576,               0.007426,               0.007426,               0.007426
                     28,                0.70383,                0.47504,                 1.3715,                0.81766,                0.80952,                0.85291,                0.70691,                0.66877,                0.42676,                 1.4451,               0.007327,               0.007327,               0.007327
                     29,                0.70424,                0.47433,                 1.3753,                0.81836,                0.81805,                0.85294,                 0.7065,                0.66656,                0.42474,                 1.4377,               0.007228,               0.007228,               0.007228
                     30,                0.70154,                0.47148,                 1.3713,                0.81917,                0.81107,                0.85399,                0.70861,                0.66745,                0.42348,                 1.4584,               0.007129,               0.007129,               0.007129
                     31,                0.70475,                0.47317,                 1.3789,                0.82189,                0.81583,                0.85751,                 0.7117,                0.66479,                0.42007,                  1.454,                0.00703,                0.00703,                0.00703
                     32,                0.69836,                0.46722,                 1.3764,                0.82628,                 0.8076,                 0.8579,                0.71224,                0.66323,                 0.4175,                 1.4461,               0.006931,               0.006931,               0.006931
                     33,                0.70012,                0.46834,                 1.3719,                0.80634,                0.82011,                0.85531,                0.70915,                0.66419,                0.41936,                 1.4536,               0.006832,               0.006832,               0.006832
                     34,                0.69509,                0.46359,                 1.3699,                0.82333,                0.81414,                0.86065,                0.71434,                0.66346,                0.41816,                 1.4469,               0.006733,               0.006733,               0.006733
                     35,                0.69697,                0.46313,                 1.3737,                 0.8142,                0.82696,                0.85752,                0.71355,                0.66249,                0.41633,                 1.4516,               0.006634,               0.006634,               0.006634
                     36,                0.69243,                0.45857,                 1.3656,                0.84061,                0.80452,                0.85615,                0.71175,                0.65989,                0.41528,                 1.4503,               0.006535,               0.006535,               0.006535
                     37,                0.68689,                0.45585,                 1.3688,                0.81908,                0.81644,                0.85639,                0.71259,                0.65985,                0.41523,                 1.4507,               0.006436,               0.006436,               0.006436
                     38,                0.69006,                0.45573,                 1.3737,                0.83016,                0.82153,                0.86335,                0.71883,                0.65881,                0.41138,                 1.4505,               0.006337,               0.006337,               0.006337
                     39,                0.68684,                0.45163,                 1.3729,                0.82684,                 0.8201,                0.86104,                0.71889,                0.65914,                 0.4112,                 1.4495,               0.006238,               0.006238,               0.006238
                     40,                0.68537,                0.45212,                 1.3696,                0.84494,                0.81136,                 0.8653,                0.72222,                0.65847,                 0.4083,                 1.4496,               0.006139,               0.006139,               0.006139
                     41,                0.68419,                0.44737,                 1.3766,                0.83846,                0.81757,                0.86431,                0.72094,                0.65832,                0.40829,                 1.4556,                0.00604,                0.00604,                0.00604
                     42,                0.68254,                0.44735,                 1.3705,                0.83681,                0.82756,                0.86698,                0.72369,                0.65691,                0.40674,                 1.4574,               0.005941,               0.005941,               0.005941
                     43,                0.67666,                0.44548,                 1.3727,                0.83937,                0.82533,                0.86488,                0.72256,                 0.6569,                0.40703,                  1.458,               0.005842,               0.005842,               0.005842
                     44,                0.67933,                0.44281,                 1.3672,                0.83228,                0.83177,                0.86469,                0.72272,                0.65628,                0.40673,                 1.4552,               0.005743,               0.005743,               0.005743
                     45,                0.68241,                0.44522,                 1.3706,                0.83909,                0.82866,                0.86654,                0.72394,                0.65656,                0.40605,                 1.4545,               0.005644,               0.005644,               0.005644
                     46,                0.67812,                0.44315,                 1.3778,                0.82598,                0.83592,                0.86522,                0.72286,                0.65742,                0.40619,                 1.4578,               0.005545,               0.005545,               0.005545
                     47,                0.67722,                0.43799,                 1.3688,                0.84455,                0.82116,                 0.8646,                0.72299,                0.65685,                0.40593,                 1.4576,               0.005446,               0.005446,               0.005446
                     48,                0.67587,                0.43999,                 1.3689,                0.83903,                0.82533,                0.86474,                0.72294,                0.65603,                0.40524,                 1.4557,               0.005347,               0.005347,               0.005347
                     49,                0.67279,                0.43568,                 1.3618,                0.84605,                0.82031,                 0.8656,                0.72314,                0.65597,                0.40457,                 1.4544,               0.005248,               0.005248,               0.005248
                     50,                0.66855,                0.43217,                 1.3618,                0.84334,                0.81944,                0.86586,                0.72381,                0.65582,                 0.4044,                 1.4526,               0.005149,               0.005149,               0.005149
                     51,                0.67174,                0.43625,                 1.3653,                0.84675,                0.81752,                0.86762,                0.72509,                0.65564,                0.40385,                 1.4516,                0.00505,                0.00505,                0.00505
                     52,                 0.6667,                0.43137,                 1.3703,                0.84986,                0.81667,                0.86861,                0.72596,                0.65533,                0.40347,                 1.4526,               0.004951,               0.004951,               0.004951
                     53,                0.66413,                0.42671,                 1.3694,                0.84024,                0.82792,                0.86875,                0.72625,                0.65487,                0.40301,                 1.4537,               0.004852,               0.004852,               0.004852
                     54,                0.66246,                0.42654,                 1.3674,                0.84241,                0.82316,                0.86742,                0.72592,                0.65456,                0.40345,                 1.4527,               0.004753,               0.004753,               0.004753
                     55,                0.66465,                0.42415,                 1.3624,                0.84656,                0.81998,                0.86718,                0.72569,                0.65455,                0.40348,                 1.4534,               0.004654,               0.004654,               0.004654
                     56,                0.66001,                0.42349,                 1.3613,                0.84697,                0.81995,                 0.8682,                0.72642,                 0.6546,                0.40291,                 1.4539,               0.004555,               0.004555,               0.004555
                     57,                0.65729,                0.41829,                 1.3583,                0.84647,                0.82039,                0.86812,                0.72642,                0.65422,                0.40278,                 1.4536,               0.004456,               0.004456,               0.004456
                     58,                0.66364,                0.42154,                  1.355,                0.84279,                0.82623,                0.86858,                0.72683,                0.65392,                0.40222,                 1.4545,               0.004357,               0.004357,               0.004357
                     59,                0.66278,                 0.4207,                 1.3684,                 0.8408,                 0.8288,                0.86819,                0.72681,                0.65386,                 0.4023,                 1.4542,               0.004258,               0.004258,               0.004258
                     60,                0.66269,                0.42132,                 1.3582,                0.84129,                0.82704,                0.86834,                0.72687,                0.65366,                 0.4019,                 1.4538,               0.004159,               0.004159,               0.004159
                     61,                0.65651,                0.41658,                 1.3544,                0.83915,                0.82891,                0.86854,                0.72724,                0.65346,                0.40169,                 1.4531,                0.00406,                0.00406,                0.00406
                     62,                  0.653,                0.41434,                  1.358,                0.84392,                0.82325,                0.86784,                0.72669,                0.65319,                0.40155,                 1.4527,               0.003961,               0.003961,               0.003961
                     63,                0.65626,                0.41622,                 1.3607,                0.84251,                0.82584,                0.86788,                0.72716,                0.65295,                0.40111,                 1.4526,               0.003862,               0.003862,               0.003862
                     64,                0.65677,                 0.4167,                  1.359,                0.84307,                0.82428,                0.86741,                0.72706,                0.65298,                0.40129,                 1.4526,               0.003763,               0.003763,               0.003763
                     65,                 0.6497,                0.40956,                 1.3573,                0.84322,                0.82502,                0.86774,                0.72705,                0.65286,                0.40104,                  1.453,               0.003664,               0.003664,               0.003664
                     66,                0.64883,                0.40932,                 1.3617,                0.84311,                0.82406,                0.86764,                0.72664,                0.65299,                0.40092,                 1.4532,               0.003565,               0.003565,               0.003565
                     67,                0.65419,                0.40889,                 1.3535,                0.84455,                0.82304,                0.86744,                0.72668,                0.65285,                0.40097,                 1.4535,               0.003466,               0.003466,               0.003466
                     68,                0.64595,                0.40358,                 1.3584,                0.83938,                 0.8285,                0.86729,                0.72666,                0.65282,                  0.401,                 1.4537,               0.003367,               0.003367,               0.003367
                     69,                0.64673,                0.40313,                 1.3586,                0.83862,                 0.8274,                0.86707,                0.72649,                0.65284,                0.40115,                 1.4539,               0.003268,               0.003268,               0.003268
                     70,                0.64489,                0.40208,                 1.3471,                0.83876,                0.82648,                0.86696,                0.72674,                0.65283,                0.40092,                 1.4542,               0.003169,               0.003169,               0.003169
                     71,                0.64411,                0.40323,                 1.3532,                0.83676,                0.82648,                0.86681,                0.72628,                0.65283,                0.40098,                 1.4543,                0.00307,                0.00307,                0.00307
                     72,                0.64219,                0.39913,                 1.3507,                0.84702,                0.81541,                0.86632,                0.72639,                0.65271,                0.40107,                 1.4547,               0.002971,               0.002971,               0.002971
                     73,                0.63929,                0.39662,                 1.3529,                0.84728,                0.81495,                 0.8664,                0.72649,                 0.6527,                0.40123,                  1.455,               0.002872,               0.002872,               0.002872
                     74,                0.63819,                0.39581,                 1.3501,                 0.8467,                0.81471,                0.86607,                0.72633,                0.65264,                0.40111,                 1.4552,               0.002773,               0.002773,               0.002773
                     75,                0.63704,                0.39436,                 1.3467,                 0.8465,                0.81568,                0.86598,                0.72634,                0.65253,                0.40108,                 1.4553,               0.002674,               0.002674,               0.002674
                     76,                0.63546,                0.39336,                 1.3432,                0.84718,                0.81541,                0.86572,                0.72608,                0.65255,                0.40118,                 1.4553,               0.002575,               0.002575,               0.002575
                     77,                0.63519,                0.39179,                 1.3428,                0.84549,                0.81691,                0.86541,                0.72573,                0.65255,                0.40116,                 1.4557,               0.002476,               0.002476,               0.002476
                     78,                0.63406,                0.39023,                 1.3445,                0.84322,                0.81931,                 0.8653,                0.72596,                0.65246,                0.40105,                 1.4559,               0.002377,               0.002377,               0.002377
                     79,                0.63563,                0.38971,                 1.3445,                0.84067,                0.82303,                0.86502,                0.72542,                0.65226,                0.40086,                 1.4561,               0.002278,               0.002278,               0.002278
                     80,                0.62962,                0.38695,                 1.3431,                0.83571,                0.82863,                 0.8649,                0.72551,                0.65232,                0.40075,                 1.4563,               0.002179,               0.002179,               0.002179
