                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3424,                 1.4481,                 1.5905,                 0.5246,                0.50365,                0.42903,                0.30384,                  1.037,                0.91717,                 1.5548,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0807,                 0.9069,                 1.4465,                 0.5083,                 0.6223,                0.57372,                 0.4241,                0.88519,                0.72504,                 1.4596,                0.04004,               0.006589,               0.006589
                      3,                0.92492,                0.74199,                 1.4359,                0.50943,                 0.5709,                0.54106,                0.40095,                0.89646,                0.70304,                 1.6659,              0.0099086,              0.0097904,              0.0097904
                      4,                0.85431,                0.66698,                  1.446,                0.57885,                0.59444,                0.58442,                0.44193,                0.82089,                0.77029,                 1.5372,               0.009703,               0.009703,               0.009703
                      5,                0.83664,                0.64056,                 1.4377,                0.65665,                0.62405,                0.64466,                0.48918,                0.81869,                 0.6298,                  1.577,               0.009604,               0.009604,               0.009604
                      6,                0.82065,                 0.6178,                 1.4219,                0.65412,                0.66512,                0.67545,                0.52372,                0.78107,                0.61535,                 1.5341,               0.009505,               0.009505,               0.009505
                      7,                0.81502,                0.60729,                 1.4196,                 0.7251,                0.70665,                0.73243,                0.57899,                0.75816,                 0.5548,                 1.4707,               0.009406,               0.009406,               0.009406
                      8,                0.80754,                0.59948,                 1.4244,                 0.7102,                0.72606,                0.74106,                0.58674,                 0.7548,                0.54454,                 1.4669,               0.009307,               0.009307,               0.009307
                      9,                0.80241,                0.58995,                 1.4112,                0.73526,                0.72663,                0.76109,                0.59885,                0.75246,                0.53747,                 1.4871,               0.009208,               0.009208,               0.009208
                     10,                0.80004,                0.58817,                 1.4064,                0.72048,                0.69953,                0.73146,                0.57661,                0.75478,                0.55537,                 1.5051,               0.009109,               0.009109,               0.009109
                     11,                0.79461,                0.57938,                 1.4068,                  0.699,                0.73409,                 0.7389,                0.58546,                0.76079,                0.54787,                 1.4988,                0.00901,                0.00901,                0.00901
                     12,                0.78916,                 0.5718,                 1.4061,                 0.7371,                0.74008,                0.77193,                0.61862,                0.73157,                0.51624,                 1.4627,               0.008911,               0.008911,               0.008911
                     13,                0.78438,                0.57026,                 1.4033,                0.75471,                0.73579,                 0.7675,                0.61172,                0.73362,                0.51682,                 1.5008,               0.008812,               0.008812,               0.008812
                     14,                0.78071,                0.56639,                 1.4008,                0.73004,                 0.7477,                0.76672,                0.61579,                0.72667,                0.50964,                 1.4486,               0.008713,               0.008713,               0.008713
                     15,                0.78133,                0.56384,                 1.4011,                 0.7527,                 0.7643,                0.78962,                0.63496,                0.72067,                0.50108,                  1.475,               0.008614,               0.008614,               0.008614
                     16,                 0.7764,                0.55596,                 1.3956,                 0.7601,                0.75605,                0.79218,                0.63478,                0.72494,                0.50683,                 1.4874,               0.008515,               0.008515,               0.008515
                     17,                0.77324,                0.55431,                  1.402,                0.76224,                0.73668,                0.77922,                0.62636,                0.72144,                0.50835,                 1.4694,               0.008416,               0.008416,               0.008416
                     18,                0.76847,                  0.549,                 1.3923,                0.76893,                0.75484,                0.79887,                0.64296,                0.71049,                0.48662,                 1.4413,               0.008317,               0.008317,               0.008317
                     19,                 0.7676,                0.54823,                  1.401,                0.79286,                0.76054,                0.81492,                0.66203,                0.71099,                0.47915,                  1.446,               0.008218,               0.008218,               0.008218
                     20,                0.76783,                0.54903,                 1.3954,                0.76811,                0.77088,                0.80858,                 0.6539,                0.70845,                0.48347,                 1.4726,               0.008119,               0.008119,               0.008119
                     21,                0.76651,                0.54308,                 1.4014,                0.78067,                 0.7929,                0.82486,                0.66818,                0.70249,                0.47169,                 1.4587,                0.00802,                0.00802,                0.00802
                     22,                0.76001,                0.54247,                  1.394,                0.78701,                0.78914,                 0.8218,                0.66741,                0.70046,                0.46625,                 1.4431,               0.007921,               0.007921,               0.007921
                     23,                0.76134,                0.54239,                 1.4025,                0.79453,                0.76848,                0.82086,                0.66746,                 0.7017,                0.46898,                 1.4591,               0.007822,               0.007822,               0.007822
                     24,                0.75894,                0.53925,                 1.3975,                0.78945,                0.76375,                0.81576,                0.65938,                0.70298,                0.47139,                 1.4641,               0.007723,               0.007723,               0.007723
                     25,                0.75515,                   0.53,                 1.3964,                   0.79,                0.78388,                0.82486,                0.67179,                0.69497,                0.46253,                 1.4458,               0.007624,               0.007624,               0.007624
                     26,                0.75263,                0.52949,                 1.3969,                0.78415,                0.78714,                  0.824,                0.67072,                0.69835,                0.46453,                 1.4404,               0.007525,               0.007525,               0.007525
                     27,                0.74803,                0.52778,                 1.3898,                0.77653,                0.78596,                0.82263,                0.67129,                0.69378,                0.46256,                 1.4523,               0.007426,               0.007426,               0.007426
                     28,                0.74835,                0.52539,                 1.3908,                0.77868,                0.79471,                0.82199,                0.67298,                0.69218,                0.45954,                 1.4527,               0.007327,               0.007327,               0.007327
                     29,                0.74914,                0.52548,                 1.3974,                0.81598,                0.78502,                0.83578,                0.68315,                0.69025,                0.45187,                 1.4594,               0.007228,               0.007228,               0.007228
                     30,                0.74625,                 0.5228,                 1.3877,                0.79369,                0.79618,                0.83089,                0.67954,                 0.6921,                0.45495,                 1.4563,               0.007129,               0.007129,               0.007129
                     31,                0.75069,                0.52619,                 1.3952,                0.81042,                0.80809,                0.84879,                0.69561,                0.68824,                0.45084,                 1.4452,                0.00703,                0.00703,                0.00703
                     32,                0.74394,                0.51983,                 1.3931,                0.80331,                0.78978,                0.83691,                0.68393,                0.68863,                 0.4508,                 1.4469,               0.006931,               0.006931,               0.006931
                     33,                0.74635,                0.52096,                 1.3871,                0.81643,                0.78259,                 0.8402,                0.68817,                 0.6872,                0.44879,                 1.4488,               0.006832,               0.006832,               0.006832
                     34,                0.74047,                0.51536,                 1.3859,                 0.8134,                0.78959,                0.84104,                0.69051,                0.68542,                0.44835,                 1.4451,               0.006733,               0.006733,               0.006733
                     35,                0.74389,                0.51715,                 1.3862,                0.81281,                0.79612,                  0.844,                0.69345,                0.68559,                0.44665,                 1.4399,               0.006634,               0.006634,               0.006634
                     36,                0.73804,                0.51215,                 1.3808,                0.81207,                0.79146,                0.84146,                0.69033,                0.68536,                0.44502,                 1.4504,               0.006535,               0.006535,               0.006535
                     37,                0.73323,                  0.508,                 1.3839,                 0.8013,                  0.793,                0.83929,                0.68869,                0.68279,                0.44777,                 1.4509,               0.006436,               0.006436,               0.006436
                     38,                0.73597,                0.50835,                 1.3882,                0.80234,                0.79916,                0.84002,                0.68984,                0.68093,                0.44451,                 1.4494,               0.006337,               0.006337,               0.006337
                     39,                0.73323,                0.50523,                 1.3875,                0.82141,                0.78685,                0.84488,                0.69488,                 0.6808,                0.44142,                 1.4404,               0.006238,               0.006238,               0.006238
                     40,                0.73147,                0.50737,                 1.3847,                0.81168,                0.80179,                0.84915,                 0.6973,                 0.6787,                0.43902,                 1.4463,               0.006139,               0.006139,               0.006139
                     41,                 0.7301,                0.50146,                 1.3872,                0.81641,                0.80155,                0.85056,                0.69949,                0.67924,                0.43899,                  1.444,                0.00604,                0.00604,                0.00604
                     42,                0.73022,                0.50205,                 1.3841,                0.82297,                0.80114,                0.85213,                0.70123,                0.67845,                0.43705,                 1.4455,               0.005941,               0.005941,               0.005941
                     43,                 0.7232,                0.49886,                 1.3894,                0.81079,                0.80814,                 0.8502,                0.69963,                0.67819,                0.43651,                 1.4473,               0.005842,               0.005842,               0.005842
                     44,                 0.7246,                0.49707,                 1.3827,                0.82626,                0.80029,                0.85278,                0.70191,                0.67691,                0.43543,                  1.447,               0.005743,               0.005743,               0.005743
                     45,                0.72928,                0.49936,                 1.3873,                0.82774,                0.79708,                0.85109,                0.70147,                0.67658,                0.43522,                 1.4485,               0.005644,               0.005644,               0.005644
                     46,                0.72586,                 0.4994,                 1.3888,                 0.8327,                0.79273,                0.85138,                0.70181,                0.67723,                0.43557,                 1.4485,               0.005545,               0.005545,               0.005545
                     47,                0.72435,                 0.4939,                 1.3819,                0.82965,                0.79617,                 0.8518,                0.70251,                0.67669,                  0.435,                 1.4476,               0.005446,               0.005446,               0.005446
                     48,                0.72338,                 0.4945,                 1.3873,                0.82502,                0.79621,                0.85134,                0.70269,                0.67536,                0.43447,                 1.4498,               0.005347,               0.005347,               0.005347
                     49,                0.71944,                0.49109,                 1.3776,                0.82387,                0.79836,                 0.8521,                0.70348,                0.67516,                0.43405,                 1.4476,               0.005248,               0.005248,               0.005248
                     50,                0.71473,                0.48652,                 1.3765,                0.81429,                0.80013,                0.84952,                0.70123,                0.67516,                 0.4344,                 1.4472,               0.005149,               0.005149,               0.005149
                     51,                0.72017,                0.49236,                 1.3798,                0.81696,                0.80126,                0.84958,                0.70139,                0.67508,                0.43381,                  1.447,                0.00505,                0.00505,                0.00505
                     52,                0.71691,                0.48907,                 1.3857,                0.81962,                0.79689,                0.84965,                0.70172,                0.67477,                 0.4332,                 1.4475,               0.004951,               0.004951,               0.004951
                     53,                0.71222,                0.48298,                 1.3831,                 0.8184,                0.80036,                0.85053,                0.70287,                0.67452,                0.43255,                 1.4467,               0.004852,               0.004852,               0.004852
                     54,                0.70968,                0.48168,                 1.3884,                0.82102,                0.80324,                0.85156,                0.70359,                0.67406,                0.43178,                 1.4488,               0.004753,               0.004753,               0.004753
                     55,                0.71251,                0.47996,                 1.3813,                0.82251,                0.80314,                0.85138,                0.70383,                0.67395,                0.43088,                 1.4496,               0.004654,               0.004654,               0.004654
