                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4634,                 1.6133,                 2.2416,                0.33774,                0.50821,                0.40052,                0.22746,                 1.3252,                  1.052,                 2.0672,               0.070106,              0.0033215,              0.0033215
                      2,                 1.1514,                0.99097,                 1.8772,                0.42617,                0.56491,                0.48538,                0.32518,                0.99216,                0.87691,                 1.9388,                0.04004,               0.006589,               0.006589
                      3,                 1.0055,                0.84427,                 1.7296,                0.45842,                0.61136,                0.50927,                0.35269,                0.90647,                0.90421,                 1.8046,              0.0099086,              0.0097904,              0.0097904
                      4,                0.94744,                0.76923,                 1.6492,                0.56362,                0.64647,                0.57886,                0.41825,                0.90512,                0.72154,                 1.6975,               0.009703,               0.009703,               0.009703
                      5,                0.90395,                0.71621,                 1.6098,                0.61541,                0.66208,                0.64471,                0.48105,                0.81169,                0.64591,                 1.6727,               0.009604,               0.009604,               0.009604
                      6,                0.87566,                0.68016,                 1.5779,                0.62841,                0.66832,                0.66521,                0.49357,                0.84264,                0.65465,                 1.6599,               0.009505,               0.009505,               0.009505
                      7,                0.85578,                0.65576,                  1.567,                0.64194,                0.66272,                0.66776,                0.51188,                0.79222,                0.60798,                 1.6506,               0.009406,               0.009406,               0.009406
                      8,                0.84576,                0.64351,                 1.5616,                0.60732,                0.69072,                0.66286,                0.50729,                0.78111,                0.62719,                 1.6412,               0.009307,               0.009307,               0.009307
                      9,                 0.8378,                0.62822,                 1.5426,                0.68927,                0.71364,                0.70979,                0.55143,                 0.7718,                0.56167,                 1.6031,               0.009208,               0.009208,               0.009208
                     10,                0.83006,                0.62217,                 1.5295,                 0.6842,                 0.7147,                0.71983,                0.56189,                0.75243,                0.55466,                 1.6068,               0.009109,               0.009109,               0.009109
                     11,                0.82434,                0.61186,                 1.5283,                0.69955,                0.74758,                0.74639,                0.58221,                0.75075,                0.54357,                 1.5863,                0.00901,                0.00901,                0.00901
                     12,                 0.8162,                 0.5991,                 1.5214,                0.68871,                0.69922,                0.69836,                0.54172,                0.76411,                0.55383,                 1.5877,               0.008911,               0.008911,               0.008911
                     13,                0.81037,                0.59795,                 1.5189,                0.73853,                0.74004,                0.77448,                0.61494,                0.73798,                0.51321,                  1.584,               0.008812,               0.008812,               0.008812
                     14,                0.80572,                0.59271,                 1.5109,                0.68492,                0.72124,                0.72323,                 0.5736,                 0.7381,                 0.5334,                 1.5826,               0.008713,               0.008713,               0.008713
                     15,                0.80317,                0.58691,                 1.5093,                0.76454,                 0.7358,                 0.7725,                0.62068,                0.72878,                0.50547,                 1.5871,               0.008614,               0.008614,               0.008614
                     16,                0.79745,                0.57821,                 1.5026,                0.75434,                0.75002,                0.78444,                0.62731,                0.72328,                0.50365,                 1.5787,               0.008515,               0.008515,               0.008515
                     17,                0.79431,                0.57484,                 1.5077,                0.75763,                0.75136,                 0.7861,                0.62812,                0.71973,                0.50097,                 1.5764,               0.008416,               0.008416,               0.008416
                     18,                0.78908,                0.56892,                 1.4971,                0.75975,                0.74837,                0.78648,                0.62994,                0.72113,                0.50052,                 1.5845,               0.008317,               0.008317,               0.008317
                     19,                0.78746,                0.56737,                 1.5058,                0.77541,                0.72826,                0.78318,                0.62579,                 0.7185,                0.49722,                 1.5773,               0.008218,               0.008218,               0.008218
                     20,                0.78569,                0.56735,                 1.4964,                0.74081,                0.75414,                0.77512,                0.61968,                0.71877,                0.49077,                 1.5732,               0.008119,               0.008119,               0.008119
                     21,                0.78552,                0.55957,                 1.4987,                0.79186,                0.75007,                0.80352,                0.64429,                0.71261,                 0.4847,                 1.5685,                0.00802,                0.00802,                0.00802
                     22,                0.77793,                0.55924,                 1.4903,                0.77558,                0.76494,                0.79913,                 0.6453,                0.71013,                0.47707,                 1.5815,               0.007921,               0.007921,               0.007921
                     23,                0.77822,                 0.5579,                 1.4971,                0.76382,                0.74237,                 0.7831,                0.63106,                0.70984,                 0.4888,                 1.5756,               0.007822,               0.007822,               0.007822
                     24,                0.77648,                 0.5558,                 1.4912,                0.80276,                0.73522,                 0.8052,                0.65127,                0.70366,                0.47337,                 1.5646,               0.007723,               0.007723,               0.007723
                     25,                0.77272,                0.54492,                 1.4882,                 0.7555,                 0.7718,                0.79863,                0.64554,                0.70298,                0.48043,                 1.5648,               0.007624,               0.007624,               0.007624
                     26,                0.76826,                0.54272,                 1.4861,                0.78307,                0.77354,                0.81222,                 0.6592,                0.70335,                0.46974,                 1.5417,               0.007525,               0.007525,               0.007525
                     27,                0.76333,                0.54204,                 1.4807,                0.78169,                0.76469,                  0.811,                0.65921,                0.69811,                0.46497,                 1.5508,               0.007426,               0.007426,               0.007426
                     28,                0.76498,                0.53968,                 1.4778,                0.77782,                0.76307,                0.80946,                0.65896,                0.70031,                0.46419,                 1.5407,               0.007327,               0.007327,               0.007327
                     29,                 0.7663,                0.53986,                 1.4827,                0.78743,                0.76861,                0.81615,                0.66428,                0.69484,                 0.4603,                 1.5552,               0.007228,               0.007228,               0.007228
                     30,                0.76169,                0.53691,                 1.4744,                0.76311,                 0.7876,                0.81708,                0.66411,                0.69796,                0.46002,                 1.5535,               0.007129,               0.007129,               0.007129
                     31,                0.76589,                0.53884,                  1.482,                0.78477,                0.78476,                0.82424,                0.67221,                 0.6924,                0.45704,                 1.5507,                0.00703,                0.00703,                0.00703
                     32,                0.75821,                0.53123,                 1.4786,                0.80636,                0.76585,                0.81874,                0.66851,                 0.6926,                0.45314,                  1.541,               0.006931,               0.006931,               0.006931
                     33,                0.75983,                0.53238,                 1.4692,                0.78511,                0.79061,                0.82738,                0.67623,                0.69219,                0.45247,                 1.5447,               0.006832,               0.006832,               0.006832
                     34,                 0.7543,                0.52698,                 1.4736,                0.79365,                0.78461,                0.82662,                0.67331,                 0.6913,                0.45458,                 1.5458,               0.006733,               0.006733,               0.006733
                     35,                0.75745,                0.52668,                 1.4717,                 0.7949,                0.77666,                 0.8255,                0.67388,                0.68971,                0.45181,                 1.5395,               0.006634,               0.006634,               0.006634
                     36,                 0.7523,                0.52116,                 1.4638,                0.79643,                0.77063,                0.82341,                0.67418,                0.68665,                0.44974,                  1.541,               0.006535,               0.006535,               0.006535
                     37,                0.74611,                0.51781,                 1.4636,                0.79563,                0.77445,                0.82592,                0.67615,                 0.6869,                0.44916,                 1.5437,               0.006436,               0.006436,               0.006436
                     38,                0.74894,                0.51789,                  1.471,                0.80844,                0.78986,                0.83711,                0.68505,                0.68583,                0.44554,                 1.5405,               0.006337,               0.006337,               0.006337
                     39,                 0.7445,                0.51243,                 1.4687,                0.82068,                0.77533,                 0.8395,                0.68834,                0.68431,                0.44353,                 1.5399,               0.006238,               0.006238,               0.006238
                     40,                0.74397,                0.51594,                 1.4679,                0.81512,                0.77618,                0.83748,                0.68777,                0.68341,                0.44305,                 1.5392,               0.006139,               0.006139,               0.006139
                     41,                0.74185,                0.50948,                 1.4709,                0.80402,                  0.786,                0.83508,                0.68506,                0.68372,                0.44303,                 1.5389,                0.00604,                0.00604,                0.00604
                     42,                 0.7422,                0.51179,                 1.4623,                0.80381,                0.78911,                0.83578,                 0.6865,                0.68127,                0.44078,                 1.5358,               0.005941,               0.005941,               0.005941
                     43,                0.73589,                0.50777,                  1.465,                0.78851,                0.79996,                0.83552,                0.68548,                0.68202,                0.44097,                 1.5396,               0.005842,               0.005842,               0.005842
                     44,                0.73788,                0.50739,                 1.4611,                0.79719,                0.79856,                0.83875,                 0.6889,                0.68123,                0.43877,                 1.5343,               0.005743,               0.005743,               0.005743
                     45,                0.74241,                0.50903,                 1.4627,                0.80985,                0.78835,                0.83772,                0.68906,                0.68054,                0.43833,                  1.533,               0.005644,               0.005644,               0.005644
                     46,                0.73776,                0.50834,                 1.4685,                0.80012,                0.79715,                0.83928,                 0.6908,                0.68095,                0.43772,                 1.5333,               0.005545,               0.005545,               0.005545
                     47,                0.73591,                0.50271,                 1.4571,                0.80984,                0.79073,                0.83829,                0.69017,                0.67989,                0.43719,                 1.5322,               0.005446,               0.005446,               0.005446
                     48,                0.73541,                 0.5059,                  1.459,                0.79695,                0.80113,                0.83793,                0.68943,                0.67909,                0.43733,                 1.5308,               0.005347,               0.005347,               0.005347
                     49,                0.73189,                0.50036,                 1.4512,                0.80291,                0.79269,                0.83735,                0.68822,                0.67883,                 0.4369,                 1.5294,               0.005248,               0.005248,               0.005248
                     50,                0.72715,                0.49623,                 1.4543,                0.80294,                0.79369,                0.83715,                0.68894,                0.67842,                0.43639,                 1.5291,               0.005149,               0.005149,               0.005149
                     51,                 0.7309,                0.50107,                 1.4578,                0.79873,                0.80086,                0.83967,                0.69158,                0.67833,                0.43565,                 1.5287,                0.00505,                0.00505,                0.00505
                     52,                0.72694,                0.49662,                 1.4592,                0.80198,                0.79862,                0.84152,                0.69342,                0.67791,                0.43491,                 1.5287,               0.004951,               0.004951,               0.004951
